point	metric_name	unit	semantic_module_sum
M1_RAW	l1tex__t_bytes.sum	byte	272187392
M1_RAW	lts__t_bytes.sum	byte	137167040
M1_RAW	dram__bytes.sum	byte	138156416
M1_AWQ	l1tex__t_bytes.sum	byte	47284224
M1_AWQ	lts__t_bytes.sum	byte	41898912
M1_AWQ	dram__bytes.sum	byte	640
M256_RAW	l1tex__t_bytes.sum	byte	417071104
M256_RAW	lts__t_bytes.sum	byte	417723360
M256_RAW	dram__bytes.sum	byte	156380160
M256_AWQ	l1tex__t_bytes.sum	byte	1411252224
M256_AWQ	lts__t_bytes.sum	byte	1266170592
M256_AWQ	dram__bytes.sum	byte	178195840
