target	gate	pass
T0	rc_zero	True
T0	mode_exact	True
T0	binary_exact	True
T0	cycles_off_authority	True
T0	instructions_exact	True
T0	cta_exact	True
T0	unique_uid_exact	True
T0	candidate_coverage_complete	True
T0	duplicate_application_zero	True
T0	terminal	True
T0	controller_quiescence	True
T0	memo_quiescence	True
T0	detached_quiescence	True
T0	hit_application_conservation	True
T0	prelaunch_not_saved_conservation	True
T0	zero_forward_without_live_prelaunch	True
T0	ppn_consistency	True
T0	zero_proactive_owner	True
T0	zero_proactive_duplicate	True
T0	zero_owner_wait	True
T0	zero_head_block	True
T1	rc_zero	True
T1	mode_exact	True
T1	binary_exact	True
T1	cycles_off_authority	True
T1	instructions_exact	True
T1	cta_exact	True
T1	unique_uid_exact	True
T1	candidate_coverage_complete	True
T1	duplicate_application_zero	True
T1	terminal	True
T1	controller_quiescence	True
T1	memo_quiescence	True
T1	detached_quiescence	True
T1	hit_application_conservation	True
T1	prelaunch_not_saved_conservation	True
T1	zero_forward_without_live_prelaunch	True
T1	ppn_consistency	True
T1	zero_proactive_owner	True
T1	zero_proactive_duplicate	True
T1	zero_owner_wait	True
T1	zero_head_block	True
T2	rc_zero	True
T2	mode_exact	True
T2	binary_exact	True
T2	cycles_off_authority	True
T2	instructions_exact	True
T2	cta_exact	True
T2	unique_uid_exact	True
T2	candidate_coverage_complete	True
T2	duplicate_application_zero	True
T2	terminal	True
T2	controller_quiescence	True
T2	memo_quiescence	True
T2	detached_quiescence	True
T2	hit_application_conservation	True
T2	prelaunch_not_saved_conservation	True
T2	zero_forward_without_live_prelaunch	True
T2	ppn_consistency	True
T2	zero_proactive_owner	True
T2	zero_proactive_duplicate	True
T2	zero_owner_wait	True
T2	zero_head_block	True
SPLITKV	rc_zero	True
SPLITKV	mode_exact	True
SPLITKV	binary_exact	True
SPLITKV	cycles_off_authority	True
SPLITKV	instructions_exact	True
SPLITKV	cta_exact	True
SPLITKV	unique_uid_exact	True
SPLITKV	candidate_coverage_complete	True
SPLITKV	duplicate_application_zero	True
SPLITKV	terminal	True
SPLITKV	controller_quiescence	True
SPLITKV	memo_quiescence	True
SPLITKV	detached_quiescence	True
SPLITKV	hit_application_conservation	True
SPLITKV	prelaunch_not_saved_conservation	True
SPLITKV	zero_forward_without_live_prelaunch	True
SPLITKV	ppn_consistency	True
SPLITKV	zero_proactive_owner	True
SPLITKV	zero_proactive_duplicate	True
SPLITKV	zero_owner_wait	True
SPLITKV	zero_head_block	True
COMBINE	rc_zero	True
COMBINE	mode_exact	True
COMBINE	binary_exact	True
COMBINE	cycles_off_authority	True
COMBINE	instructions_exact	True
COMBINE	cta_exact	True
COMBINE	unique_uid_exact	True
COMBINE	candidate_coverage_complete	True
COMBINE	duplicate_application_zero	True
COMBINE	terminal	True
COMBINE	controller_quiescence	True
COMBINE	memo_quiescence	True
COMBINE	detached_quiescence	True
COMBINE	hit_application_conservation	True
COMBINE	prelaunch_not_saved_conservation	True
COMBINE	zero_forward_without_live_prelaunch	True
COMBINE	ppn_consistency	True
COMBINE	zero_proactive_owner	True
COMBINE	zero_proactive_duplicate	True
COMBINE	zero_owner_wait	True
COMBINE	zero_head_block	True
A1	rc_zero	True
A1	mode_exact	True
A1	binary_exact	True
A1	cycles_off_authority	True
A1	instructions_exact	True
A1	cta_exact	True
A1	unique_uid_exact	True
A1	candidate_coverage_complete	True
A1	duplicate_application_zero	True
A1	terminal	True
A1	controller_quiescence	True
A1	memo_quiescence	True
A1	detached_quiescence	True
A1	hit_application_conservation	True
A1	prelaunch_not_saved_conservation	True
A1	zero_forward_without_live_prelaunch	True
A1	ppn_consistency	True
A1	zero_proactive_owner	True
A1	zero_proactive_duplicate	True
A1	zero_owner_wait	True
A1	zero_head_block	True
A2	rc_zero	True
A2	mode_exact	True
A2	binary_exact	True
A2	cycles_off_authority	True
A2	instructions_exact	True
A2	cta_exact	True
A2	unique_uid_exact	True
A2	candidate_coverage_complete	True
A2	duplicate_application_zero	True
A2	terminal	True
A2	controller_quiescence	True
A2	memo_quiescence	True
A2	detached_quiescence	True
A2	hit_application_conservation	True
A2	prelaunch_not_saved_conservation	True
A2	zero_forward_without_live_prelaunch	True
A2	ppn_consistency	True
A2	zero_proactive_owner	True
A2	zero_proactive_duplicate	True
A2	zero_owner_wait	True
A2	zero_head_block	True
