deployment_id	scenario_id	run_id	phase	launch_id	kernel_name	operator_class	kernel_markers	trace_list_sha256	catalog_origin	duration_ns	start_ns	end_ns	evidence_tier	source_commit	missing_reason	row_ordinal
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F0_NONE	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	0
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F1_NONE	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	1
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F2_NONE	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	2
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F5_NONE	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	3
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F7_10	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	4
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F7_20	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	5
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F7_5	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	6
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F8_10	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	7
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F8_20	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	8
a82930b46160c3ac4e7d946d381cf8e5749c907b6c402b15864fa024eda0940d	C12_DECODE1_TRACE_LIST	C12_decode1_F8_5	decode1	NA	NA	UNKNOWN	740	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	TRACE_HEADER_ONLY	NA	NA	NA	UNRESOLVED	a268aba0d01310294074ded5bb8017e2092394c0	FROZEN_C12_PROVENANCE_HAS_TRACE_LIST_COUNT_NOT_PER_LAUNCH_HEADER	9
