condition	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
SETASIDE_ONLY	0	25.51091194152832	25.41766357421875	25.631744384765625	0.0029797377800721454	[25.448448181152344, 25.51091194152832, 25.41766357421875, 25.603071212768555, 25.571104049682617, 25.466880798339844, 25.631744384765625]
SETASIDE_ONLY	1	13.618176460266113	13.605888366699219	13.627391815185547	0.0005175987309389586	[13.615103721618652, 13.618176460266113, 13.615103721618652, 13.627391815185547, 13.621248245239258, 13.627391815185547, 13.605888366699219]
SETASIDE_ONLY	2	13.620223999023438	13.614080429077148	13.630559921264648	0.0003985169228532736	[13.620223999023438, 13.628416061401367, 13.614080429077148, 13.619199752807617, 13.624320030212402, 13.630559921264648, 13.618399620056152]
SETASIDE_ONLY	3	13.623295783996582	13.616127967834473	13.628416061401367	0.00029251753348715615	[13.618176460266113, 13.624320030212402, 13.620223999023438, 13.616127967834473, 13.625344276428223, 13.623295783996582, 13.628416061401367]
ROTATE_CONTROL_3	0	25.588735580444336	25.415679931640625	25.893600463867188	0.005920730807572529	[25.893600463867188, 25.50886344909668, 25.588735580444336, 25.74937629699707, 25.69683265686035, 25.52627182006836, 25.415679931640625]
ROTATE_CONTROL_3	1	13.622271537780762	13.613056182861328	13.631487846374512	0.0003996971424018287	[13.631487846374512, 13.624320030212402, 13.617471694946289, 13.621248245239258, 13.622271537780762, 13.625344276428223, 13.613056182861328]
ROTATE_CONTROL_3	2	13.627391815185547	13.620223999023438	13.629440307617188	0.00025323327480718456	[13.627391815185547, 13.620415687561035, 13.627391815185547, 13.629440307617188, 13.627391815185547, 13.620223999023438, 13.627391815185547]
ROTATE_CONTROL_3	3	13.626367568969727	13.619199752807617	13.633536338806152	0.0003155593774842827	[13.633536338806152, 13.626367568969727, 13.630463600158691, 13.623295783996582, 13.626367568969727, 13.619199752807617, 13.627391815185547]
SINGLE_L0_UP	0	25.52934455871582	25.434783935546875	25.6562557220459	0.002938157989646886	[25.525951385498047, 25.434783935546875, 25.6562557220459, 25.640960693359375, 25.52934455871582, 25.482112884521484, 25.581567764282227]
SINGLE_L0_UP	1	13.632512092590332	13.623295783996582	13.657088279724121	0.0008116964670613866	[13.623295783996582, 13.632512092590332, 13.640704154968262, 13.657088279724121, 13.628416061401367, 13.632512092590332, 13.648896217346191]
SINGLE_L0_UP	2	13.631487846374512	13.624320030212402	13.638655662536621	0.00032061745930164054	[13.629599571228027, 13.629759788513184, 13.635583877563477, 13.634559631347656, 13.624320030212402, 13.631487846374512, 13.638655662536621]
SINGLE_L0_UP	3	13.625791549682617	13.614399909973145	13.641728401184082	0.0006248352843403587	[13.633567810058594, 13.620223999023438, 13.621567726135254, 13.641728401184082, 13.614399909973145, 13.625791549682617, 13.630463600158691]
SHARE2_UP	0	25.563135147094727	25.499263763427734	25.68191909790039	0.00241327594832511	[25.563135147094727, 25.630720138549805, 25.68191909790039, 25.596927642822266, 25.499263763427734, 25.50067138671875, 25.559040069580078]
SHARE2_UP	1	13.586432456970215	13.576383590698242	13.598719596862793	0.0005449899579153233	[13.594623565673828, 13.576383590698242, 13.58233642578125, 13.58028793334961, 13.586432456970215, 13.589920043945312, 13.598719596862793]
SHARE2_UP	2	13.57107162475586	13.557760238647461	13.583392143249512	0.0005929522986163917	[13.58131217956543, 13.57107162475586, 13.576191902160645, 13.557760238647461, 13.569024085998535, 13.569024085998535, 13.583392143249512]
SHARE2_UP	3	13.573311805725098	13.566975593566895	13.591551780700684	0.0007493727425656327	[13.590527534484863, 13.571104049682617, 13.591551780700684, 13.566975593566895, 13.57107162475586, 13.573311805725098, 13.590527534484863]
SHARE2_L0	0	25.56211280822754	25.390783309936523	25.772031784057617	0.004577444786868197	[25.772031784057617, 25.68262481689453, 25.390783309936523, 25.559040069580078, 25.54368019104004, 25.69830322265625, 25.56211280822754]
SHARE2_L0	1	13.627391815185547	13.614080429077148	13.638655662536621	0.0005643983891020617	[13.627391815185547, 13.620223999023438, 13.614080429077148, 13.632512092590332, 13.638655662536621, 13.629440307617188, 13.621248245239258]
SHARE2_L0	2	13.623295783996582	13.60092830657959	13.635583877563477	0.0008012285415319495	[13.614080429077148, 13.635583877563477, 13.60092830657959, 13.633536338806152, 13.623295783996582, 13.619199752807617, 13.623456001281738]
SHARE2_L0	3	13.630463600158691	13.618176460266113	13.634559631347656	0.00046607604124931495	[13.618176460266113, 13.634559631347656, 13.618176460266113, 13.630463600158691, 13.632512092590332, 13.632512092590332, 13.627679824829102]
SHARE3	0	25.660415649414062	25.375743865966797	25.699264526367188	0.004000892797007797	[25.699264526367188, 25.660415649414062, 25.6757755279541, 25.375743865966797, 25.624576568603516, 25.671680450439453, 25.60380744934082]
SHARE3	1	13.577216148376465	13.56492805480957	13.602815628051758	0.0008393267699914775	[13.577216148376465, 13.56492805480957, 13.577216148376465, 13.588479995727539, 13.584383964538574, 13.57209587097168, 13.602815628051758]
SHARE3	2	13.57209587097168	13.55571174621582	13.588479995727539	0.0007094568483728986	[13.567999839782715, 13.55571174621582, 13.57209587097168, 13.5731201171875, 13.562239646911621, 13.57532787322998, 13.588479995727539]
SHARE3	3	13.57107162475586	13.553664207458496	13.595680236816406	0.0008707593325206287	[13.570079803466797, 13.553664207458496, 13.569024085998535, 13.58028793334961, 13.57107162475586, 13.576543807983398, 13.595680236816406]
