profile_id	condition	target	decode_index	selected_range	kernel_count	kernel_names	replay_pass_count	l1tex__t_bytes.sum	lts__t_bytes.sum	dram__bytes.sum	gpu__time_duration.sum	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	dram__bytes_read.sum	profiler_command
L0_DOWN_D3_ROTATE_CONTROL_3	ROTATE_CONTROL_3	L0_DOWN	3	C16_E1_SHARED_ROTATE_CONTROL_3_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41198688.0	35477760.0	88160.0	157520.0	1102304.0	35369472.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_ROTATE_CONTROL_3_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_DOWN_D3_ROTATE_CONTROL_3 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition ROTATE_CONTROL_3 --run-index 400
L0_DOWN_D3_SETASIDE_ONLY	SETASIDE_ONLY	L0_DOWN	3	C16_E1_SHARED_SETASIDE_ONLY_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41180064.0	35504768.0	86784.0	157106.0	1102304.0	35367936.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SETASIDE_ONLY_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_DOWN_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SETASIDE_ONLY --run-index 400
L0_DOWN_D3_SHARE2_L0	SHARE2_L0	L0_DOWN	3	C16_E1_SHARED_SHARE2_L0_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41180160.0	27075584.0	83808.0	413974.0	845368.0	27075072.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SHARE2_L0_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_DOWN_D3_SHARE2_L0 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SHARE2_L0 --run-index 400
L0_DOWN_D3_SHARE3	SHARE3	L0_DOWN	3	C16_E1_SHARED_SHARE3_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41172064.0	31984640.0	85024.0	260558.0	998848.0	31984640.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SHARE3_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_DOWN_D3_SHARE3 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SHARE3 --run-index 400
L0_UP_D3_ROTATE_CONTROL_3	ROTATE_CONTROL_3	L0_UP	3	C16_E1_SHARED_ROTATE_CONTROL_3_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41727808.0	46674560.0	82912.0	156174.0	1102304.0	35281152.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_ROTATE_CONTROL_3_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_ROTATE_CONTROL_3 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition ROTATE_CONTROL_3 --run-index 400
L0_UP_D3_SETASIDE_ONLY	SETASIDE_ONLY	L0_UP	3	C16_E1_SHARED_SETASIDE_ONLY_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41683712.0	46652672.0	82624.0	154764.0	1102304.0	35280128.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SETASIDE_ONLY_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SETASIDE_ONLY --run-index 400
L0_UP_D3_SHARE2_L0	SHARE2_L0	L0_UP	3	C16_E1_SHARED_SHARE2_L0_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41720032.0	35251968.0	63840.0	158728.0	1099432.0	35199232.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SHARE2_L0_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_SHARE2_L0 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SHARE2_L0 --run-index 400
L0_UP_D3_SHARE2_UP	SHARE2_UP	L0_UP	3	C16_E1_SHARED_SHARE2_UP_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41690944.0	32751360.0	61056.0	234488.0	1022896.0	32751360.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SHARE2_UP_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_SHARE2_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SHARE2_UP --run-index 400
L0_UP_D3_SHARE3	SHARE3	L0_UP	3	C16_E1_SHARED_SHARE3_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41696800.0	34610048.0	62720.0	176438.0	1081012.0	34609280.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SHARE3_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_SHARE3 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SHARE3 --run-index 400
L0_UP_D3_SINGLE_L0_UP	SINGLE_L0_UP	L0_UP	3	C16_E1_SHARED_SINGLE_L0_UP_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41693440.0	36297600.0	66624.0	171792.0	1086440.0	34797056.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_SHARED_SINGLE_L0_UP_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/shared/ncu/reports/L0_UP_D3_SINGLE_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_shared_residency_natural.py --condition SINGLE_L0_UP --run-index 400
