family	profile_id	kernel_index	kernel_role	kernel_name	grid_size	block_size	metric_name	unit	value	replay_pass_count
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	45846528.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	86016.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	40587744.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	600832.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes.sum	byte	35088896.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	70400.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	gpu__time_duration.sum	ns	84192.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	gpu__time_duration.sum	ns	5152.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	162214.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	1792.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	1095680.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	0.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes_read.sum	byte	35086976.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes_read.sum	byte	70400.0	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	38.98	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	6.76	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	4.16	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	0.32	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	11.92	3
critical	L0_DOWN_D3_PERSIST_L0_DOWN	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	8.33	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	45846528.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	86016.0	3
