condition	phase	target	scope	median_cpu_ns	min_cpu_ns	max_cpu_ns	cv	samples_cpu_ns
ROTATE_CONTROL_3	D0	L0_DOWN	ONE_UPDATE	2059	1868	2211	0.0552334368931748	[2202, 2016, 2211, 1868, 2059, 2185, 2057]
ROTATE_CONTROL_3	D0	L0_UP	ONE_UPDATE	8426	7315	9453	0.07869608923509934	[9453, 8426, 8647, 7800, 9020, 7315, 8381]
ROTATE_CONTROL_3	D0	L14_UP	ONE_UPDATE	3831	3701	4980	0.10090867134418319	[4980, 3701, 3831, 4246, 3805, 4121, 3830]
ROTATE_CONTROL_3	D1	L0_DOWN	ONE_UPDATE	1975	1845	2464	0.09088525201287795	[1956, 1975, 1945, 2464, 1845, 2096, 2110]
ROTATE_CONTROL_3	D1	L0_UP	ONE_UPDATE	6138	5285	6765	0.08315755441436212	[6657, 6765, 6118, 6138, 5521, 6347, 5285]
ROTATE_CONTROL_3	D1	L14_UP	ONE_UPDATE	3774	3624	7822	0.315653115452932	[7822, 3774, 3624, 3734, 5179, 3863, 3747]
ROTATE_CONTROL_3	D2	L0_DOWN	ONE_UPDATE	2112	1846	2295	0.06628375192457904	[2091, 2112, 1971, 2295, 2134, 2221, 1846]
ROTATE_CONTROL_3	D2	L0_UP	ONE_UPDATE	3927	3841	4308	0.03662834031406678	[4308, 3927, 4018, 3867, 3980, 3911, 3841]
ROTATE_CONTROL_3	D2	L14_UP	ONE_UPDATE	3723	3581	3768	0.01890267116698979	[3723, 3632, 3768, 3765, 3640, 3581, 3751]
ROTATE_CONTROL_3	D3	L0_DOWN	ONE_UPDATE	2019	1940	2091	0.025713083547319788	[2057, 2091, 2031, 1940, 2019, 1942, 2011]
ROTATE_CONTROL_3	D3	L0_UP	ONE_UPDATE	3816	3777	4016	0.019711954509470154	[3806, 3874, 4016, 3777, 3816, 3812, 3904]
ROTATE_CONTROL_3	D3	L14_UP	ONE_UPDATE	3712	3377	3791	0.03744710165424438	[3769, 3555, 3712, 3377, 3620, 3743, 3791]
ROTATE_CONTROL_3	PREFILL	L0_DOWN	ONE_UPDATE	4503	4281	5311	0.07342490434863987	[5311, 4482, 4281, 4658, 4503, 4917, 4306]
ROTATE_CONTROL_3	PREFILL	L0_UP	ONE_UPDATE	11930	11473	12578	0.02956143719422093	[11930, 12578, 11795, 12327, 12359, 11892, 11473]
ROTATE_CONTROL_3	PREFILL	L14_UP	ONE_UPDATE	5309	4927	6010	0.07016145777228701	[4973, 5598, 6010, 5731, 5309, 4927, 5144]
