artifact_id	class	campaign	gpu	role	source_path	size_bytes	sha256	hash_basis	source_authority	required_on_destination	destination_path	transfer_status	notes
git_4080_r5_contract_and_review	GIT_REQUIRED	RTX4080	RTX4080	code_receipt_review	Git:b75f26674a09705659e770ab2134351414aa3c93:docs/vm_tlb/codex_handoff/c16/4080_migration+review_packs/C16_4080_U5_U9_R5_CLEAN	UNKNOWN	GIT_COMMIT	Git immutable commit	b75f26674a09705659e770ab2134351414aa3c93	YES	Git checkout	READY_IN_GIT	R5 clean state only; R4 remains non-authoritative
git_4080_host_tools	GIT_REQUIRED	RTX4080	RTX4080	producer_runner_parser	Git:b75f26674a09705659e770ab2134351414aa3c93:util/vm_tlb/c16/host_4080	UNKNOWN	GIT_COMMIT	Git immutable commit	b75f26674a09705659e770ab2134351414aa3c93	YES	Git checkout	READY_IN_GIT	Rebuild and verify against destination runtime; do not copy built environment
git_historical_lane_g_producers	GIT_REQUIRED	RTX3090	RTX3090	provenance_source	Git:util/vm_tlb/c16/lane_g/{Makefile.retry570_targeted_memory_tool,retry570_llama_recovery_publish.py,retry570_multimodel_capture.py}	UNKNOWN	GIT_COMMIT	Git source references	C16_4080_MIGRATION_SOURCE_RECEIPT.json	YES	Git checkout	READY_IN_GIT	Historical producer source, not an RTX4080 code-object identity
git_3090_closeout_bridge_analysis	GIT_REQUIRED	RTX3090	RTX3090	comparison_receipt_analysis	Git:649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9:docs/vm_tlb/review_packs/C16_H_MEMORY_FINGERPRINT/ROUTE_B_CAPTURE_CONTRACT_V1	UNKNOWN	GIT_COMMIT	Git immutable commit	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	Git checkout	READY_IN_GIT	Bridge and closeout documents; no authority merging
rtx4080_ncu_n1_report	STORAGE_REQUIRED	RTX4080	RTX4080	NCU_RAW_REPORT	/data/c16/ncu/C16_NCU_N1_vector_add_20260914T094300Z.ncu-rep	UNKNOWN	d2e97a920a998d76f14902d21e3d71b6e23d11ad00cf2eed797b4b0758e07102	receipt SHA256	C16_4080_NCU_N1_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/ncu/	SOURCE_PATH_NOT_ACCESSIBLE	Copy-not-move; N1 fixture only, not model NCU
rtx4080_ncu_n1_csv	STORAGE_REQUIRED	RTX4080	RTX4080	NCU_CSV_EXPORT	/data/c16/ncu/canary/C16_NCU_N1_20260914T094300Z/report_raw.csv	UNKNOWN	372ee15d20bc6ac44a5178b23e7cbc350d8890e10f354689c76ac87ffcb56d17	receipt SHA256	C16_4080_NCU_N1_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/ncu/	SOURCE_PATH_NOT_ACCESSIBLE	Copy-not-move with report
rtx4080_u8_nvbit_raw_root	STORAGE_REQUIRED	RTX4080	RTX4080	NVBIT_DIAGNOSTIC_RAW	/data/c16/results/C16_U8_NVBIT175_20260914T111145Z	UNKNOWN	6c801de25d08a58bf04f8ef6a5349665bfeb3ee6d99e28795e530d935cb30f8e	FINAL_SHA256SUMS manifest SHA256	C16_4080_NVBIT175_U8_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/nvbit/	SOURCE_PATH_NOT_ACCESSIBLE	Copy only after file-level manifest is re-read; U8.5 is partial fail tool closure
rtx4080_frozen_input_bundle	UNKNOWN_PROVENANCE	RTX4080	RTX4080	frozen_input	MISSING_OR_EXTERNAL_ONLY	UNKNOWN	UNKNOWN	four payload hashes in c16_frozen_input_admission.py	C16_4080_MIGRATION_SOURCE_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/input/	UNKNOWN_PROVENANCE	TEXT.txt/TEXT_T128.json/LLAMA_S0_TEXT_TOKEN_IDS.json plus binding receipt; path/size not exposed here
rtx4080_exact_llama_model	UNKNOWN_PROVENANCE	RTX4080	RTX4080	model_asset	MISSING_OR_EXTERNAL_ONLY	UNKNOWN	UNKNOWN	asset admission record	C16_4080_LLAMA_ASSET_ADMISSION.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/models/	BLOCKED_OR_UNPROVEN	Exact revision 4e20de362430cd3b72f300e6b0f18e50e7166e08; destination presence unproven
rtx4080_r5_u5_u6_u9_raw	UNKNOWN_PROVENANCE	RTX4080	RTX4080	R5_MODEL_RAW_STATIC_MAP_STDOUT	MISSING_OR_EXTERNAL_ONLY	UNKNOWN	UNKNOWN	R5 review summary only	b75f26674a09705659e770ab2134351414aa3c93	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/r5/	UNKNOWN_PROVENANCE	PASS summaries do not supply raw paths or per-file SHA in the committed R5 pack
