artifact_id	kind	requiredness	source_ref	local_path	destination_relpath	size_bytes	sha256	verification_status	transfer_action	notes
c16_qwen25_7b_awq:config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/config.json	models/c16_qwen25_7b_awq/config.json	841	ec0c1f5f875ad8bc1f78c5140c22dbdde1b55478442ad358e7a4d9ecf947a327	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:generation_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/generation_config.json	models/c16_qwen25_7b_awq/generation_config.json	243	9df8ac8558514924f3481a609f1e5590ab4416efc600b12ad805155d79581c59	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:merges.txt	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/merges.txt	models/c16_qwen25_7b_awq/merges.txt	1671839	599bab54075088774b1733fde865d5bd747cbcc7a547c5bc12610e874e26f5e3	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:model-00001-of-00002.safetensors	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/model-00001-of-00002.safetensors	models/c16_qwen25_7b_awq/model-00001-of-00002.safetensors	3996422976	4ad6e70f93823a9228931615e04b5e9293854c236fb4bd5f85e27f3b600605ad	LOCAL_SHA256_VERIFIED_AGAINST_IMMUTABLE_REMOTE_LFS_RECEIPT_CONSUMED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; IMMUTABLE_VERIFIED_RECEIPT=/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_qwen25_7b_awq/model-00001-of-00002.safetensors.json; LOCAL_CHECKPOINT_FILES_PRESENT; REMOTE_LFS_SHA256_MATCHED
c16_qwen25_7b_awq:model-00002-of-00002.safetensors	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/model-00002-of-00002.safetensors	models/c16_qwen25_7b_awq/model-00002-of-00002.safetensors	1574406784	920a8cc9d3c81668f18014a69bb041ab8bab22a31640a713f90f5e7580e2f126	LOCAL_SHA256_VERIFIED_AGAINST_IMMUTABLE_REMOTE_LFS_RECEIPT_CONSUMED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; IMMUTABLE_VERIFIED_RECEIPT=/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_qwen25_7b_awq/model-00002-of-00002.safetensors.json; LOCAL_CHECKPOINT_FILES_PRESENT; REMOTE_LFS_SHA256_MATCHED
c16_qwen25_7b_awq:model.safetensors.index.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/model.safetensors.index.json	models/c16_qwen25_7b_awq/model.safetensors.index.json	62662	559b6859f37625080bf49eea80806ecc2f859a13b316b7fae2ff4432b6308e36	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:tokenizer.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/tokenizer.json	models/c16_qwen25_7b_awq/tokenizer.json	7031645	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:tokenizer_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/tokenizer_config.json	models/c16_qwen25_7b_awq/tokenizer_config.json	7305	5b5d4f65d0acd3b2d56a35b56d374a36cbc1c8fa5cf3b3febbbfabf22f359583	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_7b_awq:vocab.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	Qwen/Qwen2.5-7B-Instruct-AWQ@b25037543e9394b818fdfca67ab2a00ecc7dd641;tokenizer@b25037543e9394b818fdfca67ab2a00ecc7dd641	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-7B-Instruct-AWQ__b25037543e9394b818fdfca67ab2a00ecc7dd641/vocab.json	models/c16_qwen25_7b_awq/vocab.json	2776833	ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	LOCAL_CHECKPOINT_DOWNLOAD_PARTIAL_PENDING_REMAINING_WHOLE_FILE_SHA256; LOCAL_CHECKPOINT_FILES_PRESENT
A_IMMUTABLE_RECEIPT:c16_qwen25_7b_awq:model-00001-of-00002.safetensors	IMMUTABLE_VERIFICATION_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_LOCAL_IMMUTABLE_RECEIPT	/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_qwen25_7b_awq/model-00001-of-00002.safetensors.json	a_assets/immutable_verified_receipts/c16_qwen25_7b_awq/model-00001-of-00002.safetensors.json	827	0f171cb64a93201593f0673563952b57c5ffdf633dcdc591b9600df23e19de73	IMMUTABLE_VERIFIED_RECEIPT	RSYNC_FILE_WITH_SHA256_RECHECK	single whole-file SHA-256 closure receipt consumed without rescanning checkpoint
