field	value	status
authority	L2_GRAMMAR_REPAIRED_DETERMINISTIC	PASS
native_capture_commit	39548abdd83bf5058abc5ffedd9513286ddab271	READ_ONLY
original_trace	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/ai_translation_native_atlas_capture_20260926/capture_L2/raw/kernel-7062-ctx_0x5c4fa771e8b0.traceg.xz	UNCHANGED
original_sha256	db391d6731d0568a0abf0283546c564d793adc0fbeecab7010831eb8329297e6	PASS
derived_trace	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/L2_GRAMMAR_REPAIRED_DETERMINISTIC/kernel-7062-ctx_0x5c4fa771e8b0.traceg.xz	BYTE_IDENTICAL_COPY
derived_sha256	db391d6731d0568a0abf0283546c564d793adc0fbeecab7010831eb8329297e6	PASS
modified_instruction_records	0	PASS
normalized_ldc_u8_records	256	PASS
normalized_form	width=0;immediate=0;no_dynamic_address	DETERMINISTIC
compiled_validator_sha256	33dac111d71116c0eb1c1efaa59ba2c7d0c02844907fd03ec033406f7de04a38	PASS
validator_source_sha256	135761ac8e10a7fb6c98a3413cd477602d84b164a778c5d4f2a1bfb517be5b37	PASS
l2_compiled_validator	TRACEG_GRAMMAR_PASS;tb=64;instructions=674715;LDC.U8=256	PASS
canary_trace_sha256	282a9b18510bd0aaf54ec528c65bfb39d49b052902c6b87f3b85bb2973096371	PASS
canary_compiled_validator	TRACEG_GRAMMAR_PASS;tb=126;instructions=1320771;LDC.U8=504	PASS
authority_receipt	/root/share/mnt164/huangrulin/awma_ai_translation_native_residual_174new_v1/L2_GRAMMAR_REPAIRED_DETERMINISTIC/AUTHORITY.json	PASS
