    PID    PPID     ELAPSED STAT CMD
      1       0  3-23:06:44 Ss   /sbin/init splash
      2       0  3-23:06:44 S    [kthreadd]
      3       2  3-23:06:44 S    [pool_workqueue_release]
      4       2  3-23:06:44 I<   [kworker/R-rcu_gp]
      5       2  3-23:06:44 I<   [kworker/R-sync_wq]
      6       2  3-23:06:44 I<   [kworker/R-kvfree_rcu_reclaim]
      7       2  3-23:06:44 I<   [kworker/R-slub_flushwq]
      8       2  3-23:06:44 I<   [kworker/R-netns]
     10       2  3-23:06:44 I<   [kworker/0:0H-kblockd]
     13       2  3-23:06:44 I<   [kworker/R-mm_percpu_wq]
     14       2  3-23:06:44 S    [ksoftirqd/0]
     15       2  3-23:06:44 I    [rcu_preempt]
     16       2  3-23:06:44 S    [rcu_exp_par_gp_kthread_worker/1]
     17       2  3-23:06:44 S    [rcu_exp_gp_kthread_worker]
     18       2  3-23:06:44 S    [migration/0]
     19       2  3-23:06:44 S    [kprobe-optimizer]
     20       2  3-23:06:44 S    [idle_inject/0]
     21       2  3-23:06:44 S    [cpuhp/0]
     22       2  3-23:06:44 S    [cpuhp/2]
     23       2  3-23:06:44 S    [idle_inject/2]
     24       2  3-23:06:44 S    [migration/2]
     25       2  3-23:06:44 S    [ksoftirqd/2]
     27       2  3-23:06:44 I<   [kworker/2:0H-kblockd]
     28       2  3-23:06:44 S    [cpuhp/4]
     29       2  3-23:06:44 S    [idle_inject/4]
     30       2  3-23:06:44 S    [migration/4]
     31       2  3-23:06:44 S    [ksoftirqd/4]
     33       2  3-23:06:44 I<   [kworker/4:0H-kblockd]
     34       2  3-23:06:44 S    [cpuhp/6]
     35       2  3-23:06:44 S    [idle_inject/6]
     36       2  3-23:06:44 S    [migration/6]
     37       2  3-23:06:44 S    [ksoftirqd/6]
     39       2  3-23:06:44 I<   [kworker/6:0H-kblockd]
     40       2  3-23:06:44 S    [cpuhp/8]
     41       2  3-23:06:44 S    [idle_inject/8]
     42       2  3-23:06:44 S    [migration/8]
     43       2  3-23:06:44 S    [ksoftirqd/8]
     45       2  3-23:06:44 I<   [kworker/8:0H-kblockd]
     46       2  3-23:06:44 S    [cpuhp/10]
     47       2  3-23:06:44 S    [idle_inject/10]
     48       2  3-23:06:44 S    [migration/10]
     49       2  3-23:06:44 S    [ksoftirqd/10]
     51       2  3-23:06:44 I<   [kworker/10:0H-kblockd]
     52       2  3-23:06:44 S    [cpuhp/12]
     53       2  3-23:06:44 S    [idle_inject/12]
     54       2  3-23:06:44 S    [migration/12]
     55       2  3-23:06:44 S    [ksoftirqd/12]
     57       2  3-23:06:44 I<   [kworker/12:0H-kblockd]
     58       2  3-23:06:44 S    [rcu_exp_par_gp_kthread_worker/2]
