priority_rank	priority_band	evidence_label	stage	workload	config_id	roi	job_id	information_gain	resource_cost	evidence_gap	prerequisite	rationale
1	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-finite32	decode1	B2_RETRY_b2-pwc-finite32_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
2	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-finite512	decode1	B2_RETRY_b2-pwc-finite512_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
3	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-ideal	decode1	B2_RETRY_b2-pwc-ideal_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
4	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-page-2mb-diagnostic	decode1	B2_RETRY_b2-page-2mb-diagnostic_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
5	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-control-vm-disabled	decode1	B2_RETRY_b2-control-vm-disabled_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
6	P0_FIRST_SMALL_BATCH	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-control-ideal-identity	decode1	B2_RETRY_b2-control-ideal-identity_decode1	HIGH	LOW_CALIBRATED_DECODE_SMOKE	PWC/control/page diagnostic smoke missing	A terminal; clean no-swap gate; effective concurrency=1	补齐 PWC-off 已见 smoke 信号的相邻 PWC 模式，随后补页大小和 translation controls。
7	P0_CALIBRATION	SPECULATIVE_DIAGNOSTIC	B1	llama	trace_miner_worker	decode1	B1_DECODE1_WORKER_PEAK_CALIBRATION	HIGH	CALIBRATION_ONLY	B1 miner/reducer peak RSS 未知	A terminal; clean no-swap gate; one worker	先记录单 worker peak RSS，才允许继续任何 B1 missing partial。
8	P0_CALIBRATION	SPECULATIVE_DIAGNOSTIC	B1	llama	trace_miner_worker	prefill	B1_PREFILL_WORKER_PEAK_CALIBRATION	HIGH	CALIBRATION_ONLY	B1 miner/reducer peak RSS 未知	A terminal; clean no-swap gate; one worker	先记录单 worker peak RSS，才允许继续任何 B1 missing partial。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-control-ideal-identity	prefill	B2_RETRY_b2-control-ideal-identity_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-control-vm-disabled	prefill	B2_RETRY_b2-control-vm-disabled_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
