evidence_label	stage	workload	config_id	roi	coverage_class	run_scope	completed_units	expected_units	evidence_source	reason
SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	prefill	REAL_PARTIAL	per_kernel_offline_analysis	134	692	B1_PARTIAL_INTEGRITY_V2	atomic partial 已验证，但 full phase reducer 未运行。
SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	REAL_PARTIAL	per_kernel_offline_analysis	96	740	B1_PARTIAL_INTEGRITY_V2	atomic partial 已验证，但 full phase reducer 未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-baseline	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-baseline-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-baseline	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-baseline-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e16	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e16-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e16	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e16-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e64	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e64-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e64	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e64-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e128	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e128-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l1tlb-e128-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e128-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e128-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e256-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e256-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry1-b2-l2tlb-e512-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry1-b2-l2tlb-e512-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e1536-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e1536-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e3072-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-l2tlb-e3072-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-8	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-mshr-8-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-8	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-mshr-8-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-16	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry1-b2-mshr-16-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-16	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry1-b2-mshr-16-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-64	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry1-b2-mshr-64-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-64	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-retry2-b2-mshr-64-decode1	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-128	prefill	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-mshr-128-prefill	完整 ROI 尚未运行。
SPECULATIVE_DIAGNOSTIC	B2	llama	b2-mshr-128	decode1	SMOKE_ONLY	one_kernel_continuous_smoke	1	full_roi_not_run	b2-smoke-b2-mshr-128-decode1	完整 ROI 尚未运行。
