evidence_label	stage	workload	config_id	roi	coverage_class	signal_class	changed_metrics	ipc_delta_pct	interpretation_limit
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0840	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e16	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e16	prefill	SMOKE_ONLY	OBSERVED_SMALL_SMOKE_DELTA	vm_l2_tlb_misses:815->808	0.0274	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e64	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e64	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0840	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
