workload,variant,source_core_sha,source_framework_sha,status,classification,formal_eligibility,reason
spmv,B0-Legacy,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
spmv,B0-Banked,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
cfd_097k,B0-Legacy,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
cfd_097k,B0-Banked,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
gemm,B0-Legacy,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
gemm,B0-Banked,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
FWT_7_21,B0-Legacy,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
FWT_7_21,B0-Banked,0cde333340792cffed869cbbc7e7dc88667c6b8b,0a0c0fc3e1ffb6ca346090e59e94d2128e5adc0e,COMPLETE_VALID,C6D_DIAGNOSTIC_ONLY,NO,Final C7d Core differs
vectorAdd_4M,B0-Banked,d87089448f2115589d2578428a48d91f5580312f,ea891a1e247b17fd7cb2c1d87185b05106c0a8f2,COMPLETE_VALID,C7D_NATURAL_SAMPLE_DIAGNOSTIC,NO,Pre-final Core and Framework
vectorAdd_4M,B0-Banked,d87089448f2115589d2578428a48d91f5580312f,ea891a1e247b17fd7cb2c1d87185b05106c0a8f2,FAILED,C7D_PRECOMPACT_DIAGNOSTIC,NO,Explicitly discarded pre-compact snapshot output
