deployment_family	scenario_id	model_id	revision	receipt_path	receipt_sha256	status
qwen2p5_0p5b_instruct	S0_TEXT	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S0_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	7a13b6ee0db2c5b3d6b736b53fe3fa139693c5109ac25f2bb63be2cd760d27da	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S1_CODE	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S1_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	c9950b339c6ece621de09b5c5a3ef6f818e79e98719ac857d818d547c9468e03	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S2_CODE	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S2_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	58093294b8bec7f99ddf11036fe037e74ccd2b645260777b2df70ec332a18e0f	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S2_STRUCTURED	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S2_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	55b31f06663d79ba758eba4a3b5278f503b1fe6e166d1e02e8029589cd954513	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S2_TEXT	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S2_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	3076a96415e22aa05bac1fe649a5ebc795e338c558d216ff71a989d9c3b61b1a	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S3_TEXT	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S3_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	5eada488c4c141594493a6a203ff9f831331b9e95d6fced7e9ec51ccaca55082	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_0p5b_instruct	S4_STRUCTURED	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	/data/c16/inputs/.incoming/qwen2p5_0p5b_instruct/S4_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	69145a34aff6a9710eecbd1111e489efc235ac3f886b53bf810b7c0cf3a3c1ff	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S0_TEXT	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S0_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	ca0e3eed6fa221a1680297b7cd8715aa13f9f3c71d11ba17e614ec768ed9f47e	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S1_CODE	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S1_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	57269364b1e8424fbb42a12cd79fe1b4a1342cd58d00bd737a5bde1ed8e424f8	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S2_CODE	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S2_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	5cdcb675a3281ca3ff9317643ec317d877b1cb092b57eeab85df5dfc6430a8f8	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S2_STRUCTURED	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S2_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	b2d179339809e5d7a0e4cf3685db64d12087393728061ce85e1f2da0466cc790	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
