target_id	deployment_id	scenario	phase	decode_step	scientific_role	launch_selector	static_mref_set	phase_duration_share_or_mass	ncu_memory_evidence	object_map_requirement	expected_raw_size_class	runtime_bound	status	reason
Q05-PREFILL-GEMM-01	qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	GEMM_HEAVY semantic UNKNOWN	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	READY_FOR_NCU_ONLY	static map+NCU exist; semantic/object map missing
Q05-PREFILL-ATTN-01	qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	ATTENTION_CORE	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	READY_FOR_NCU_ONLY	static map exists; NCU/object map missing
Q05-DECODE-GEMM-01	qwen25_05b_fp16_sdpa	S2_TEXT	DECODE	1	GEMM_HEAVY semantic UNKNOWN	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	no exact decode static map
Q05-DECODE-KV-01	qwen25_05b_fp16_sdpa	S2_TEXT	DECODE	1	KV_MANAGEMENT	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	no exact decode KV map
Q05-PREFILL-SPECIAL-01	qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	EMBEDDING_OUTPUT special	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	indexSelect not substituted for eligible population
Q05-AUDIT-01	qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	RANDOM_AUDIT	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	audit deferred until eligible population
AWQ-01	qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	NA	GEMM_HEAVY semantic UNKNOWN	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	READY_FOR_NCU_ONLY	NSYS class exists but static/object map pending; actual backend unfused
AWQ-02	qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	NA	QUANT_DEQUANT	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	READY_FOR_NCU_ONLY	NSYS class exists but static/object map pending; actual backend unfused
AWQ-03	qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	NA	ATTENTION_CORE	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	READY_FOR_NCU_ONLY	NSYS class exists but static/object map pending; actual backend unfused
AWQ-04	qwen25_7b_awq_autoawq_unfused	S2_TEXT	DECODE	1	GEMM_HEAVY semantic UNKNOWN	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	NSYS class exists but static/object map pending; actual backend unfused
AWQ-05	qwen25_7b_awq_autoawq_unfused	S2_TEXT	DECODE	1	KV_MANAGEMENT	exact function plus phase-local ordinal/grid/block revalidation	ALL GLOBAL MREFs only after static-map closure	see KERNEL_LAUNCH_CATALOG.tsv	Q05 GEMM bounded NCU COMPLETE; otherwise PENDING	WEIGHT;QUANT_METADATA;KV_CACHE;UNKNOWN_RUNTIME	<=4GiB	<=20min	REJECT_WEAK_TARGET	NSYS class exists but static/object map pending; actual backend unfused
