deployment_id	scenario	phase	semantic_class	duration_ns	launch_count	basis
qwen25_05b_fp16_sdpa	S2_TEXT	DECODE	ATTENTION_CORE	381184	48	direct function-name evidence
qwen25_05b_fp16_sdpa	S2_TEXT	DECODE	UNKNOWN	3565515	1004	UNKNOWN retained; no direct operator/layer proof
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	ATTENTION_CORE	3601967	24	direct function-name evidence
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	UNKNOWN	29095018	980	UNKNOWN retained; no direct operator/layer proof
qwen25_7b_awq_autoawq_unfused	S2_TEXT	DECODE	ATTENTION_CORE	923457	56	direct function-name evidence
qwen25_7b_awq_autoawq_unfused	S2_TEXT	DECODE	QUANT_DEQUANT	11906133	196	direct function-name evidence
qwen25_7b_awq_autoawq_unfused	S2_TEXT	DECODE	UNKNOWN	4764598	1252	UNKNOWN retained; no direct operator/layer proof
qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	ATTENTION_CORE	10017800	28	direct function-name evidence
qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	QUANT_DEQUANT	23821823	196	direct function-name evidence
qwen25_7b_awq_autoawq_unfused	S2_TEXT	PREFILL	UNKNOWN	309733378	1252	UNKNOWN retained; no direct operator/layer proof
