trace_opcode	base_opcode	decoded_opcode	decoded_class	ampere_map_present	M0_count	M1_count	M2_count	M3_count	active_record_count	relevance	modifier_or_semantic_audit	known_or_unresolved_trace_relevant_difference	scope
BRA	BRA	OP_BRA	SPECIALIZED_UNIT_1_OP	YES	81	81	1296	81	1349	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
CS2R	CS2R	OP_CS2R	ALU_OP	YES	4	4	64	4	76	ESSENTIAL_BRACKET_IDENTITY	ISSUE_EVENT_ONLY_ARCHITECTURAL_CLOCK_VALUE_NOT_USED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
EXIT	EXIT	OP_EXIT	EXIT_OPS	YES	3	3	48	3	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
F2I.FTZ.U32.TRUNC.NTZ	F2I	OP_F2I	ALU_OP	YES	4	4	64	4	76	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
I2F.U32.RP	I2F	OP_I2F	ALU_OP	YES	4	4	64	4	76	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IADD3	IADD3	OP_IADD3	INTP_OP	YES	85	85	1360	85	1429	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD	IMAD	OP_IMAD	INTP_OP	YES	1037	1037	16592	1037	19703	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD.HI.U32	IMAD	OP_IMAD	INTP_OP	YES	8	8	128	8	152	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD.MOV	IMAD	OP_IMAD	INTP_OP	YES	8	8	128	8	152	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD.MOV.U32	IMAD	OP_IMAD	INTP_OP	YES	16	16	256	16	304	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
