record_type	trace_id	event_id	kernel_uid	sid	warp	dynamic_warp	pc	active_lanes	accessq_entries	event_count	min_entries	mean_entries	max_entries	histogram	fraction_gt1	status
EVENT	M0	0	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	1	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	2	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	3	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	4	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	5	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	6	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	7	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	8	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	9	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	10	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	11	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	12	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	13	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	14	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	15	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	16	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	17	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	18	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	19	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	20	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	21	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	22	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	23	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	24	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	25	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	26	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	27	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	28	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	29	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	30	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	31	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	32	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	33	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	34	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	35	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	36	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	37	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	38	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	39	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	40	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	41	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	42	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	43	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	44	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	45	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	46	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	47	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	48	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	49	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	50	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	51	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	52	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	53	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	54	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	55	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	56	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	57	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	58	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	59	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	60	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	61	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	62	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	63	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	64	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	65	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	66	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	67	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	68	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	69	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	70	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	71	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	72	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	73	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	74	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	75	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	76	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	77	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	78	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	79	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	80	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	81	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	82	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	83	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	84	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	85	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	86	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	87	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	88	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	89	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	90	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	91	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	92	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	93	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	94	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	95	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	96	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
EVENT	M0	97	1	0	0	0	0x420	1	1							DEPENDENT_LDG
EVENT	M0	98	1	0	0	0	0x480	1	1							DEPENDENT_LDG
EVENT	M0	99	1	0	0	0	0x4e0	1	1							DEPENDENT_LDG
EVENT	M0	100	1	0	0	0	0x550	1	1							DEPENDENT_LDG
EVENT	M0	101	1	0	0	0	0x5b0	1	1							DEPENDENT_LDG
EVENT	M0	102	1	0	0	0	0x610	1	1							DEPENDENT_LDG
EVENT	M0	103	1	0	0	0	0x670	1	1							DEPENDENT_LDG
EVENT	M0	104	1	0	0	0	0x6d0	1	1							DEPENDENT_LDG
EVENT	M0	105	1	0	0	0	0x730	1	1							DEPENDENT_LDG
EVENT	M0	106	1	0	0	0	0x790	1	1							DEPENDENT_LDG
EVENT	M0	107	1	0	0	0	0x7f0	1	1							DEPENDENT_LDG
EVENT	M0	108	1	0	0	0	0x850	1	1							DEPENDENT_LDG
EVENT	M0	109	1	0	0	0	0x8b0	1	1							DEPENDENT_LDG
EVENT	M0	110	1	0	0	0	0x910	1	1							DEPENDENT_LDG
EVENT	M0	111	1	0	0	0	0x990	1	1							DEPENDENT_LDG
EVENT	M0	112	1	0	0	0	0x3c0	1	1							DEPENDENT_LDG
