point	role	M	implementation	state	metric_name	unit	semantic_module_sum	kernel_count
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	45932544	2
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	41183616	2
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	35403136	2
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	45932544	2
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	41204928	2
CODE_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	26752	2
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	271695872	1
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	141640992	1
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	135859072	1
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	271695872	1
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	lts__t_bytes.sum	byte	141551712	1
CODE_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	dram__bytes.sum	byte	135911552	1
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	45932544	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	41211072	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	35415040	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	45932544	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	41174624	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	3461632	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	45932544	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	41208512	2
TEXT_down_proj_M1_AWQ_FP16_INPUT	down_proj	1	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	57856	2
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	271695872	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	141642080	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	135876992	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	271695872	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	141621696	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	135844096	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	271695872	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	lts__t_bytes.sum	byte	141611136	1
TEXT_down_proj_M1_RAW_FP16	down_proj	1	RAW_FP16	WARM	dram__bytes.sum	byte	135854592	1
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	8967168	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	8546752	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	6775936	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	8967168	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	8546912	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	53504	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	8967168	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	8547456	3
TEXT_q_proj_M1_AWQ_FP16_INPUT	q_proj	1	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	66048	3
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	38649856	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	26545248	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	25726976	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	38649856	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	26545280	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	25736064	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	38649856	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	WARM	lts__t_bytes.sum	byte	26547904	1
TEXT_q_proj_M1_RAW_FP16	q_proj	1	RAW_FP16	WARM	dram__bytes.sum	byte	25736064	1
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	47284224	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	41633184	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	35368192	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DOSE64	l1tex__t_bytes.sum	byte	47284224	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DOSE64	lts__t_bytes.sum	byte	41643360	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	DOSE64	dram__bytes.sum	byte	35575936	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	47284224	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	41862624	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	2365312	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	47284224	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	41887360	2
TEXT_up_proj_M1_AWQ_FP16_INPUT	up_proj	1	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	80000	2
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	272187392	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	137171936	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	135826304	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DOSE64	l1tex__t_bytes.sum	byte	272187392	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DOSE64	lts__t_bytes.sum	byte	137171008	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	DOSE64	dram__bytes.sum	byte	141033216	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	l1tex__t_bytes.sum	byte	272187392	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	lts__t_bytes.sum	byte	137193184	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	dram__bytes.sum	byte	135839104	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	272187392	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	WARM	lts__t_bytes.sum	byte	137163552	1
TEXT_up_proj_M1_RAW_FP16	up_proj	1	RAW_FP16	WARM	dram__bytes.sum	byte	135870720	1
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	1411252224	2
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	1266487424	2
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	162525568	2
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	1411252224	2
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	1266025024	2
TEXT_up_proj_M256_AWQ_FP16_INPUT	up_proj	256	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	177492608	2
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	417071104	1
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	417822816	1
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	152756096	1
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	417071104	1
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	WARM	lts__t_bytes.sum	byte	417723392	1
TEXT_up_proj_M256_RAW_FP16	up_proj	256	RAW_FP16	WARM	dram__bytes.sum	byte	156568960	1
