target	level	phase	repetition	cycles	instructions	cta	wall_seconds	user_seconds	system_seconds	max_rss_kb	output_bytes	runtime_overhead	rss_delta_kb	output_delta_bytes	run_dir
COMBINE	0	warmup	0	10480	72908	2	1.318326651	0.91229	0.384943	622592	90419	0.053340630239499864	-2730.666666666628	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_warmup
COMBINE	0	measured	1	10480	72908	2	1.217908083	0.781082	0.38653	626688	90419	-0.026893625530596155	1365.3333333333721	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m1
COMBINE	0	measured	2	10480	72908	2	1.268328116	0.855615	0.388569	622592	90419	0.013391890427554953	-2730.666666666628	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m2
COMBINE	0	measured	3	10480	72908	2	1.268465594	0.833879	0.402127	626688	90419	0.013501735103041312	1365.3333333333721	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m3
COMBINE	1	warmup	0	10480	72908	2	1.368784232	0.950108	0.379753	622592	94201	0.09365614698232316	-2730.666666666628	3782.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_warmup
COMBINE	1	measured	1	10480	72908	2	1.369060848	0.949748	0.37737	622592	94201	0.0938771626703192	-2730.666666666628	3782.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m1
COMBINE	1	measured	2	10480	72908	2	1.31873857	0.923464	0.387545	622592	94201	0.05366975278188235	-2730.666666666628	3782.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m2
COMBINE	1	measured	3	10480	72908	2	1.318850917	0.880639	0.408032	622592	94201	0.05375951783343136	-2730.666666666628	3782.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m3
COMBINE	2	warmup	0	10480	72908	2	1.318658452	0.926359	0.381831	626688	138352	0.0536057386435429	1365.3333333333721	47933.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_warmup
COMBINE	2	measured	1	10480	72908	2	1.268210062	0.875466	0.385536	622592	138352	0.013297565493239238	-2730.666666666628	47933.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m1
COMBINE	2	measured	2	10480	72908	2	1.418890286	0.982899	0.398137	622592	138352	0.1336907942824741	-2730.666666666628	47933.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m2
COMBINE	2	measured	3	10480	72908	2	1.36903403	0.916619	0.398215	626688	138352	0.09385573513640688	1365.3333333333721	47933.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m3
COMBINE	3	warmup	0	10480	72908	2	1.368740886	0.912012	0.40391	626688	138460	0.09362151360604742	1365.3333333333721	48041.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_warmup
COMBINE	3	measured	1	10480	72908	2	1.368676431	0.924978	0.39499	626688	138460	0.09357001417662247	1365.3333333333721	48041.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m1
COMBINE	3	measured	2	10480	72908	2	1.36874037	0.924474	0.396669	626688	138460	0.09362110132297263	1365.3333333333721	48041.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m2
COMBINE	3	measured	3	10480	72908	2	1.368590727	0.95299	0.392127	626688	138460	0.09350153683429951	1365.3333333333721	48041.0	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m3
T2	0	warmup	0	93079	43357696	1216	105.869052488	105.524437	1.072776	888832	160172	0.07411600612595337	-2730.666666666628	3.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_warmup
T2	0	measured	1	93079	43357696	1216	99.008123163	98.689897	1.065486	888832	160169	0.0045070521238690375	-2730.666666666628	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m1
T2	0	measured	2	93079	43357696	1216	97.901324309	97.653569	1.025876	892928	160169	-0.006722200775867604	1365.3333333333721	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m2
T2	0	measured	3	93079	43357696	1216	98.78222424	98.467547	1.076029	892928	160169	0.0022151486519983443	1365.3333333333721	0.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m3
T2	1	warmup	0	93079	43357696	1216	101.123661375	100.783018	1.105012	892928	164192	0.025970675361054907	1365.3333333333721	4023.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_warmup
T2	1	measured	1	93079	43357696	1216	100.949766463	100.6506	1.067519	892928	164192	0.024206389160569275	1365.3333333333721	4023.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m1
T2	1	measured	2	93079	43357696	1216	113.149066244	112.803402	1.06842	888832	164192	0.14797686646588182	-2730.666666666628	4023.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m2
T2	1	measured	3	93079	43357696	1216	100.010067326	99.700962	1.024529	892928	164190	0.014672480428280954	1365.3333333333721	4021.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m3
T2	2	warmup	0	93079	43357696	1216	105.811239442	105.497986	1.061757	897024	227497	0.07352945210839912	5461.333333333372	67328.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_warmup
T2	2	measured	1	93079	43357696	1216	107.136092466	106.823087	1.05988	892928	227497	0.08697101794279694	1365.3333333333721	67328.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m1
T2	2	measured	2	93079	43357696	1216	103.983015361	103.618859	1.055914	897024	227497	0.05498083282790067	5461.333333333372	67328.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m2
T2	2	measured	3	93079	43357696	1216	102.123260136	101.773709	1.093269	897024	227497	0.036112307912413266	5461.333333333372	67328.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m3
T2	3	warmup	0	93079	43357696	1216	107.424923484	107.062157	1.07647	892928	227617	0.08990141178508271	1365.3333333333721	67448.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_warmup
T2	3	measured	1	93079	43357696	1216	103.352345798	103.04157	1.085507	897024	227617	0.04858224649624798	5461.333333333372	67448.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m1
