target	level	tag	status	rc_zero	cycles_exact	instructions_exact	cta_exact	uid_exact	untranslated_zero	unobserved_zero	duplicate_zero	quiescent	off_no_output	enabled_has_output	run_dir
COMBINE	0	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m1
COMBINE	0	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m2
COMBINE	0	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_m3
COMBINE	0	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L0_overhead_warmup
COMBINE	1	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m1
COMBINE	1	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m2
COMBINE	1	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_m3
COMBINE	1	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L1_overhead_warmup
COMBINE	2	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m1
COMBINE	2	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m2
