domain	metric	source file	source predicate/counter	semantic definition	already_existing	new_hook_required	level	status
progress	cycles	src/gpgpu-sim/gpu-sim.cc	gpu_sim_cycle	Simulated cycles in the current kernel	YES	NO	1	AVAILABLE
progress	instructions	src/gpgpu-sim/gpu-sim.cc	gpu_sim_insn	Committed active-lane instructions	YES	NO	1	AVAILABLE
progress	IPC	analysis	gpu_sim_insn / gpu_sim_cycle	Committed active-lane instructions per simulated cycle	DERIVED	NO	1	AVAILABLE
progress	CTA completion	src/gpgpu-sim/gpu-sim.cc	release_shader_resource_1block	CTA resource-release/completion observation	YES	YES	1	AVAILABLE
progress	instruction progress quantiles	src/gpgpu-sim/shader.cc	warp_inst_complete active_count	Cycle of cumulative committed-instruction percentiles	PARTIAL	YES	1/3	AVAILABLE_BOUNDED_L1_EXACT_L3
progress	CTA progress quantiles	src/gpgpu-sim/gpu-sim.cc	release_shader_resource_1block	Cycle of cumulative CTA-completion percentiles	PARTIAL	YES	1/3	AVAILABLE_BOUNDED_L1_EXACT_L3
progress	kernel tail	bottleneck_observatory.cc	final_cycle - p99_cycle	Cycles after the p99 instruction/CTA completion milestone	NO	YES	1/3	AVAILABLE
scheduler	legacy idle/control-hazard cycles	src/gpgpu-sim/shader.cc	shader_cycle_distro[0]	Scheduler cycle had no valid instruction; idle and control hazard are combined	YES	NO	1	AVAILABLE_COARSE
scheduler	legacy scoreboard cycles	src/gpgpu-sim/shader.cc	shader_cycle_distro[1]	Valid instruction existed but all candidates failed Scoreboard::checkCollision	YES	NO	1	AVAILABLE
scheduler	legacy pipeline-stall cycles	src/gpgpu-sim/shader.cc	shader_cycle_distro[2]	At least one scoreboard-ready instruction existed but none issued	YES	NO	1	AVAILABLE
scheduler	issued	src/gpgpu-sim/shader.cc	issued_inst	Scheduler invocation issued at least one instruction	NO	YES	1	AVAILABLE
scheduler	no_active_work	src/gpgpu-sim/shader.cc	active_warps == 0	No supervised non-functionally-complete warp	NO	YES	1	AVAILABLE
scheduler	no_eligible_work	src/gpgpu-sim/shader.cc	active && !valid_inst after explicit classes	Active work exists but no valid instruction and no more specific supported predicate owns the cycle	NO	YES	1	AVAILABLE
scheduler	dependency_scoreboard	src/gpgpu-sim/shader.cc	valid_inst && !ready_inst	Valid instruction exists but Scoreboard::checkCollision blocks readiness	PARTIAL	YES	1	AVAILABLE
scheduler	memory-vs-compute dependency split	src/gpgpu-sim/scoreboard.cc	checkCollision	Scoreboard does not retain producer-domain provenance for a blocked operand	NO	NO	-	NOT_AVAILABLE
scheduler	sync_barrier	src/gpgpu-sim/shader.cc	warp_waiting_at_barrier	At least one active supervised warp is waiting at a CTA barrier and no instruction issued	YES	YES	1	AVAILABLE
scheduler	sync_membar	src/gpgpu-sim/shader.h	shd_warp_t::get_membar	At least one active supervised warp has the membar state and no instruction issued	YES	YES	1	AVAILABLE
scheduler	frontend_starvation	src/gpgpu-sim/shader.h	shd_warp_t::ibuffer_empty	At least one active supervised warp has an empty instruction buffer and no instruction issued	YES	YES	1	AVAILABLE_COARSE
scheduler	eligible_structural	src/gpgpu-sim/shader.cc	ready_inst && !issued_inst	A scoreboard-ready instruction exists but no configured output pipeline accepted issue	PARTIAL	YES	1	AVAILABLE
scheduler	per-FU structural denial	src/gpgpu-sim/shader.cc	has_free predicates	Individual failed has_free results are not retained after mixed/dual-issue traversal	NO	NO	-	NOT_AVAILABLE
scheduler	active warps	src/gpgpu-sim/shader.cc	!functional_done supervised warps	Mean/peak number of non-functionally-complete warps seen per scheduler invocation	PARTIAL	YES	1	AVAILABLE
execution	ALU completions	src/gpgpu-sim/shader.cc	warp_inst_complete op_pipe==SP__OP	Completed warp instructions assigned to SP/ALU pipeline	PARTIAL	YES	1	AVAILABLE
execution	SFU completions	src/gpgpu-sim/shader.cc	warp_inst_complete op_pipe==SFU__OP	Completed warp instructions assigned to SFU pipeline	PARTIAL	YES	1	AVAILABLE
execution	Tensor completions	src/gpgpu-sim/shader.cc	warp_inst_complete op_pipe==TENSOR_CORE__OP	Completed warp instructions assigned to tensor pipeline	PARTIAL	YES	1	AVAILABLE
execution	LDST completions	src/gpgpu-sim/shader.cc	warp_inst_complete op_pipe==MEM__OP	Completed warp instructions assigned to memory pipeline	PARTIAL	YES	1	AVAILABLE
execution	other completions	src/gpgpu-sim/shader.cc	other op_pipe	Completed warp instructions not in ALU/SFU/Tensor/LDST classes	PARTIAL	YES	1	AVAILABLE
execution	FU utilization	src/gpgpu-sim/shader.cc	m_num_sp_committed/m_num_sfu_committed/m_num_mem_committed	Existing committed-pipeline counts	YES	NO	1	AVAILABLE_EXISTING
execution	operand/register bank stalls	src/gpgpu-sim/shader.cc	gpu_reg_bank_conflict_stalls	Aggregate operand-collector/register-bank conflict stalls	YES	NO	1	AVAILABLE_AGGREGATE_ONLY
