workload,mode,head_not_ready,head_ready,hol_cycles,hol_count,retire,ooo_retire,immediate_reclaim,deferred_reclaim,final_ref_reclaim,active_refs,wakeups
ATAX,IO,1270837882,3145995,1270809804,13419388021,3145984,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
ATAX,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,3145984,2190874,1579029,16231679,16231679,0,17832141
BICG,IO,1356535063,3146139,1356530036,17155905613,3145984,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
BICG,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,3145984,2249832,1641294,16169523,16169523,0,17832419
GESUMMV,IO,3230927294,4194616,3230867787,63997359255,4194560,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
GESUMMV,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,4194560,3463067,1554745,33041305,33041305,0,34607548
GEMM,IO,79834907,12817214,79816676,11423690256,12599296,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
GEMM,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,12599296,11418863,1096036,3008971,3008971,0,6995242
2DConvolution,IO,34624450,5425372,34587905,3276837069,5240320,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
2DConvolution,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,5240320,4828138,625323,2672439,2672439,0,7829925
Btree,IO,12960767,2019447,12693418,267591627,1927551,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Btree,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,1927551,1642331,489403,4855,4855,0,1248707
DWT2D,IO,8186553,445601,5856475,188484327,437886,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
DWT2D,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,437886,260305,143947,79876,79876,0,248470
Gaussian,IO,32467868,747742,28548785,817315971,743656,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Gaussian,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,743656,491940,588968,838754,838754,0,5046491
Hotspot1,IO,4683711,169476,4519392,107569464,161336,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Hotspot1,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,161336,139329,38090,305582,305582,0,352675
LUD,IO,9960393,383018,8880847,323967035,373488,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
LUD,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,373488,276741,163771,346509,346509,0,522005
NN,IO,33139,4032,16523,132237,4011,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
NN,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,4011,1857,0,0,0,0,5346
MRI-Q,IO,195354,22917,123390,1164492,21792,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
MRI-Q,OO,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,21792,9198,4144,9180,9180,0,15516
