workload	primary_class	secondary_classes	evidence_paths	classification_sha256
ATAX	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
BICG	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
GESUMMV	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
GEMM	TRAFFIC_SENSITIVE		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
2DConvolution	CONVENTIONAL_STRUCTURE_LIMITED	TRAFFIC_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
Btree	CONVENTIONAL_STRUCTURE_LIMITED	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
DWT2D	TRAFFIC_SENSITIVE	CONVENTIONAL_STRUCTURE_LIMITED	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
Gaussian	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
Hotspot1	CONVENTIONAL_STRUCTURE_LIMITED		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
LUD	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
NN	LOW_STRUCTURAL_PRESSURE		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
MRI-Q	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675
