metric	Q30	DEEPSEEK	OLMOE
selected_static_count	243	243	243
executed_static_count	41	169	129
proven_zero_static_count	202	74	114
executed_fraction	0.16872427983539096	0.6954732510288066	0.5308641975308642
dynamic_warp_records	100352	362496	132096
active_lane_events	3147776	11538432	4196352
weight_input_fraction_delta	0.0	0.0	0.0
WEIGHT_fraction	0.4996746909564086	0.4998225062122826	0.4997559785261103
INPUT_fraction	0.4996746909564086	0.4998225062122826	0.4997559785261103
OUTPUT_fraction	0.0006506180871828237	0.0003549875754348598	0.0004880429477794046
OTHER_fraction	0.0	0.0	0.0
