artifact_id	kind	requiredness	path_or_ref	size_bytes	sha256	closure_status	note
c16_qwen25_05b_native_reference:config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/config.json	659	18e18afcaccafade98daf13a54092927904649e1dd4eba8299ab717d5d94ff45	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference:generation_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/generation_config.json	242	e558847a8b4402616f1273797b015104dc266fe4b520056fca88823ba8f8ebe6	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference:merges.txt	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/merges.txt	1671839	599bab54075088774b1733fde865d5bd747cbcc7a547c5bc12610e874e26f5e3	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference:model.safetensors	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/model.safetensors	988097824	fdf756fa7fcbe7404d5c60e26bff1a0c8b8aa1f72ced49e7dd0210fe288fb7fe	LOCAL_SHA256_VERIFIED_AGAINST_IMMUTABLE_REMOTE_LFS	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT; REMOTE_LFS_SHA256_MATCHED
c16_qwen25_05b_native_reference:tokenizer.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/tokenizer.json	7031645	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference:tokenizer_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/tokenizer_config.json	7305	5b5d4f65d0acd3b2d56a35b56d374a36cbc1c8fa5cf3b3febbbfabf22f359583	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference:vocab.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/vocab.json	2776833	ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910	LOCAL_SHA256_VERIFIED	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
A_INPUT:CODE.py	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/CODE.py	156	fd7cd54612d072f0832e32cab751ab3fd2c8d9e5588f349910eb0ab3db2758ff	LOCAL_SHA256_VERIFIED	frozen raw input
A_INPUT:STRUCTURED.json	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/STRUCTURED.json	178	0e9ddcb8a03cfed41c2501eb15f761b76a8e8fe376b09a1fb0977c81b58ca765	LOCAL_SHA256_VERIFIED	frozen raw input
A_INPUT:TEXT.txt	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/TEXT.txt	203	bae0b908106146659663fa04f44bc03ec0da18cadb08c9ec357c140afc4d8208	LOCAL_SHA256_VERIFIED	frozen raw input
A_RECEIPT:INPUT_CORPUS.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/INPUT_CORPUS.tsv	715	c8fc0b95b2f4c19a22ad706044d4e52a73bcef7ecac44cbe1cdc0980f9c45815	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_MATRIX.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_MATRIX.tsv	1214	82291d77429f641aad4490cfb533a2dbf38398d1509b5a95dd25382cc54147b2	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_POLICY.md	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_POLICY.md	1120	20ab4ac1d9c48452a6c19d05330c2da1d22c431b187024b2645a8e3a10bbb1d0	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T128.json	1948	88211dcda6ac95b80439bc28d74bb9984f5eabc741f834336bc2c198281be4f0	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
