workload	accepted_fast64_commit	accepted_registry_path	accepted_registry_sha256	accepted_evidence_path	accepted_evidence_sha256	accepted_core_sha	accepted_runtime_binary_sha256	accepted_framework_sha	acceptance_status	cycles	instructions	io_lower_created	io_lower_issued	io_lower_responses	io_pending_hits	io_tag_evictions	io_duplicate_after_eviction	io_physical_allocations	l1_accesses	l1_misses	l2_accesses	l2_misses	l2_reservation_fails	global_reads	global_writes	duplicate_share_of_lower	duplicate_share_of_lower_percent	duplicate_share_denominator_status	duplicate_escape_fraction	duplicate_escape_fraction_percent	duplicate_escape_denominator_status	duplicate_per_tag_eviction	duplicate_per_tag_eviction_percent	duplicate_per_tag_eviction_denominator_status	duplicate_lower_request_payload_bytes	duplicate_payload_byte_scope	ratio_interpretation	evidence_class
ATAX	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json	599af0d7c512e32257ce31e0930653db57f3d30bafce622f7affdc2019d8b710	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	88363340	145666048	17821540	17821540	17821540	19553	17817444	356940	17821540	4194304	1024	75480464	54580608	511965611	17821540	4194304	0.020028572	2.002857217	VALID	0.948065435	94.806543548	VALID	0.020033176	2.003317648	VALID	45688320	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
BICG	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	9cb2a934364fc1658d5806a6aea2e871c7faca31c175544994ca1614f2369c06	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	93942704	145666048	17821394	17821394	17821394	18404	17817298	279251	17821394	4195328	1024	75480904	57928040	545898509	17821394	4195328	0.015669425	1.566942519	VALID	0.938170029	93.817002906	VALID	0.015673027	1.567302741	VALID	35744128	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
GESUMMV	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	e19584039bcfc8bb55411d50b6166c78d160f646c95930a35848da6a51eeea9a	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	210667785	190918656	34595564	34595564	34595564	28533	34593516	605076	34595564	4194816	1024	142577072	127045764	949202091	34595564	4194816	0.017489988	1.748998802	VALID	0.954967496	95.496749573	VALID	0.017491023	1.749102346	VALID	77449728	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
GEMM	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_gemm_io_cap8192_a1_v3.json	676b3211dbd0214424bdc711d203587d2ef688189e0150b4bf2869201876c13c	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	1488845	739246080	4256815	4256815	4256815	2210230	4248623	440128	4256815	16809984	10940304	33837244	0	0	4256815	16809984	0.103393735	10.339373452	VALID	0.166063603	16.606360348	VALID	0.103593094	10.359309357	VALID	56336384	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
2DConvolution	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_2DConvolution_io_cap16384_core658_a1_v1.json	66c9053efd82d35fe19e9d13fd0caf560545573d5ac510c74bf1ec9995a7e4bf	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	627281	620347492	3375831	3375831	3375831	4439927	3367639	1425269	3375831	2096128	2096128	15599452	4193280	4697599	3375831	2096128	0.422197971	42.219797140	VALID	0.243004496	24.300449635	VALID	0.423224995	42.322499532	VALID	182434432	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
Btree	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json	f3246b76b4c4fe342b303d3d03afb136c37ce1fec079368e0a61aed73f6200a1	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	244231	444467849	507779	507779	507779	735684	499587	8	507779	110000	63689	2141116	291650	5159	507779	110000	0.000015755	0.001575489	VALID	0.000010874	0.001087412	VALID	0.000016013	0.001601323	VALID	1024	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
DWT2D	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_dwt2d_io_cap8192_a1_v3_recovered_v2.json	87abd3fab072ba8a05db6ed50f3dfafa6e1ddc42ecf335104fc87ec82c7df1a0	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	241380	148684429	232115	232115	232115	16346	223923	1520	232115	909312	909312	1837772	1139332	1024582	232115	909312	0.006548478	0.654847813	VALID	0.085077801	8.507780141	VALID	0.006788048	0.678804768	VALID	194560	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
Gaussian	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_io_cap16384_core95_a1_v1.json	c5ef8a1a7653b47da9a7e1ff64fba55ee36afc10ba94de21d51d35a08f5d55aa	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	3817538	283685120	1422278	1422278	1422278	3617506	1414086	713979	1422278	3182064	1042430	8871176	0	0	1422278	3182064	0.501996797	50.199679669	VALID	0.164834693	16.483469295	VALID	0.504904935	50.490493506	VALID	91389312	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
Hotspot1	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_io_cap32768_core95_a1_v1.json	39bd1f99816d1133633999c8373af24c41ac859b2d04641c5ba5a22c1cc217f0	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	85633	377291004	351857	351857	351857	973	343676	4567	351857	175104	175102	1582532	250340	2681	351857	175104	0.012979705	1.297970482	VALID	0.824368231	82.436823105	VALID	0.013288679	1.328867887	VALID	584576	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
LUD	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_4_cap_resolved_matrix_v1/fast64_4_primary_accepted_matrix_v1.tsv	54f39f07ea80efbd359ec59e4dbc3a8380c6257fa866a42d30ad060b7ff4cebf	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_LUD_io_cap16384_core95_a1_v1.json	1d174f489dba5a6c7ed36255610d5386c77a3bbd4686d8f0462ec37cb4dba54e	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	STRICT_TERMINAL_ACCEPTED	1091487	184963840	517232	517232	517232	4350	509040	31436	517232	365024	365024	2433952	0	0	517232	365024	0.060777369	6.077736876	VALID	0.878444084	87.844408428	VALID	0.061755461	6.175546126	VALID	4023808	SOURCE_PROVEN_128B_REQUEST_PAYLOAD_ONLY_NOT_TOTAL_LINK_TRAFFIC	DESCRIPTIVE_EVENT_RATIO_NOT_PROBABILITY	EXISTING_DATA_DERIVED_ANALYSIS
