blocked_miss_cycles_16,blocked_miss_cycles_4,blocked_miss_cycles_8,eligible_demand_references,eligible_miss_cycles_16,eligible_miss_cycles_4,eligible_miss_cycles_8,excluded_writeback_references,missq_lower_16,missq_lower_4,missq_lower_8,mshr_meta_16,mshr_meta_4,mshr_meta_8,one_touch_unique_lines,other_16,other_4,other_8,post_eviction_cycle_sum,post_eviction_rerefs,post_eviction_seq_sum,post_evictions,reuse_129_256,reuse_17_32,reuse_257_512,reuse_33_64,reuse_513_1024,reuse_65_128,reuse_9_16,reuse_gt1024,reuse_instances,reuse_le8,set_assoc_16,set_assoc_4,set_assoc_8,terminal_record_duplicates_ignored,terminal_record_superseded,unique_lines,unique_lines_reused,wb_active_at_snapshot,wb_active_max,wb_lifetime_max,wb_lifetime_sum,wb_packets_created,wb_packets_lower_accepted,wb_path_16,wb_path_4,wb_path_8,wbuf_opportunities_16,wbuf_opportunities_4,wbuf_opportunities_8,wbuf_would_block_16,wbuf_would_block_4,wbuf_would_block_8,workload
70103487,70642479,70546606,42762931,101818510,101818510,101818510,0,62317146,62317146,62317146,19,19,19,106496,82044,81154,81504,84251000462,1375385,29060179809,9050560,850157,3916719,891190,877825,4,131210,7344873,0,33707443,19695465,222337,222337,222337,64,2048,9055488,8948992,0,6100,75391,2633396856,5260980,5260980,7481941,8021823,7925600,29195159,29195159,29195159,4212555,4752437,4656214,scan
1787921,1849743,1841892,1500000,3258898,3258898,3258898,0,1758898,1758898,1758898,0,0,0,0,0,0,0,0,0,0,375000,0,34316,0,281,0,0,82711,0,1125000,1007692,0,0,0,64,0,375000,375000,0,1977,53544,44330400,100574,100574,29023,90845,82994,467101,467101,467101,29023,90845,82994,vectorAdd_4M
2799898,2863329,2847161,5215296,7476991,7476991,7476991,0,1696993,1696993,1696993,931416,931416,931416,0,0,0,0,3945780018,44059,1401022216,1182300,202676,156977,249922,131736,102023,135718,195559,2010,4035648,2859027,0,0,0,64,64,1179648,1179648,0,3112,58612,125440045,547653,547653,171489,234920,218752,1382446,1382446,1382446,168082,231513,215345,convolutionSeparable
309214,309214,309214,432605,696255,696255,696255,0,288174,288174,288174,21040,21040,21040,72,0,0,0,0,0,0,94031,3661,54726,736,16820,18,6854,50542,0,338574,205217,0,0,0,64,0,94031,93959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spmv
1429376,1435813,1433174,10223616,2591351,2591351,2591351,0,1077737,1077737,1077737,0,0,0,0,0,0,0,841773994,75337,226800333,304341,374313,2262632,755975,464687,298,54418,1712187,0,8912896,3288386,0,0,0,64,1152,1310720,1310720,0,2082,58079,37639581,178418,178418,351639,358076,355437,601925,601925,601925,55389,61826,59187,FWT_7_21
9408,9594,9464,1333347,461853,461853,461853,0,0,0,0,0,0,0,0,0,0,0,110600008,12915,49639524,47567,61386,248462,30058,153851,9,124841,122782,0,1187619,446230,0,0,0,64,256,145728,145728,0,199,2491,103102,31131,31131,9408,9594,9464,31131,31131,31131,0,186,56,cfd_097k
97432,102534,100641,1641970,1326137,1326137,1326137,0,0,0,0,0,0,0,0,0,0,0,25805792,4780,6964456,265142,7761,91206,2641,14412,4399,10562,285494,0,1261042,844567,0,0,0,64,576,380928,380928,0,2301,29422,2412189,163840,163840,97432,102534,100641,237884,237884,237884,3867,8969,7076,dwt2d
0,0,0,471287,284444,284444,284444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767,8340,14846,35,10983,3117,36961,11082,0,367470,282106,0,0,0,64,128,103817,103817,0,64,64,3975,3975,3975,0,0,0,3975,3975,3975,0,0,0,sad
674,674,674,1417930,483958,483958,483958,0,0,0,0,674,674,674,21727,0,0,0,9717825,1598,1910278,135047,21819,31585,30646,18551,28002,22061,55681,218,1284481,1075918,0,0,0,64,64,133449,111722,0,65,132,829,412,412,0,0,0,412,412,412,0,0,0,btree
0,0,0,18410134,162036,162036,162036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,527176,8119,2361510,0,1872629,873684,0,18385558,12741698,0,0,0,64,0,24576,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gemm
