post_eviction_cycle_distance_avg,post_eviction_referenced_fraction,post_eviction_rereferences,post_eviction_sequence_distance_avg,real_evictions,workload
61256.303116581905,0.15196683962097374,1375385,21128.760171879145,9050560,scan
NA,0.0,0,NA,375000,vectorAdd_4M
89556.73115594998,0.037265499450224136,44059,31798.77473387957,1182300,convolutionSeparable
NA,0.0,0,NA,94031,spmv
11173.447230444535,0.24754140914303363,75337,3010.4773617213323,304341,FWT_7_21
8563.686256291134,0.2715117623562554,12915,3843.5558652729383,47567,cfd_097k
5398.701255230126,0.018028075521795868,4780,1456.9991631799164,265142,dwt2d
NA,0.0,0,NA,4767,sad
6081.2421777221525,0.01183291742874703,1598,1195.4180225281602,135047,btree
NA,NA,0,NA,0,gemm
