eligible_miss_admission_cycles,missq_lower,mshr_meta,other,projected_blocked_miss_admission_cycles,set_assoc,wb_path,wbuf_capacity,workload
101818510,62317146,19,81154,70642479,222337,8021823,4,scan
101818510,62317146,19,81504,70546606,222337,7925600,8,scan
101818510,62317146,19,82044,70103487,222337,7481941,16,scan
3258898,1758898,0,0,1849743,0,90845,4,vectorAdd_4M
3258898,1758898,0,0,1841892,0,82994,8,vectorAdd_4M
3258898,1758898,0,0,1787921,0,29023,16,vectorAdd_4M
7476991,1696993,931416,0,2863329,0,234920,4,convolutionSeparable
7476991,1696993,931416,0,2847161,0,218752,8,convolutionSeparable
7476991,1696993,931416,0,2799898,0,171489,16,convolutionSeparable
696255,288174,21040,0,309214,0,0,4,spmv
696255,288174,21040,0,309214,0,0,8,spmv
696255,288174,21040,0,309214,0,0,16,spmv
2591351,1077737,0,0,1435813,0,358076,4,FWT_7_21
2591351,1077737,0,0,1433174,0,355437,8,FWT_7_21
2591351,1077737,0,0,1429376,0,351639,16,FWT_7_21
461853,0,0,0,9594,0,9594,4,cfd_097k
461853,0,0,0,9464,0,9464,8,cfd_097k
461853,0,0,0,9408,0,9408,16,cfd_097k
1326137,0,0,0,102534,0,102534,4,dwt2d
1326137,0,0,0,100641,0,100641,8,dwt2d
1326137,0,0,0,97432,0,97432,16,dwt2d
284444,0,0,0,0,0,0,4,sad
284444,0,0,0,0,0,0,8,sad
284444,0,0,0,0,0,0,16,sad
483958,0,674,0,674,0,0,4,btree
483958,0,674,0,674,0,0,8,btree
483958,0,674,0,674,0,0,16,btree
162036,0,0,0,0,0,0,4,gemm
162036,0,0,0,0,0,0,8,gemm
162036,0,0,0,0,0,0,16,gemm
