max,wb_packet_creation_to_lower_accept_cycles_avg,wb_packets_created,wb_packets_lower_accepted,wb_packets_terminally_outstanding,workload
75391,500.5525312774426,5260980,5260980,0,scan
53544,440.7739574840416,100574,100574,0,vectorAdd_4M
58612,229.05022888580908,547653,547653,0,convolutionSeparable
0,NA,0,0,0,spmv
58079,210.96291293479356,178418,178418,0,FWT_7_21
2491,3.311875622369985,31131,31131,0,cfd_097k
29422,14.722833251953125,163840,163840,0,dwt2d
64,1.0,3975,3975,0,sad
132,2.012135922330097,412,412,0,btree
0,NA,0,0,0,gemm
