relative_path	size_bytes	sha256
CLOSEST_WORK_SCREEN.md	1700	14892321bc013a386438f7a08361a6497e249a3ebd710c363f34870a9d23822f
D1_DENSE_TENSOR_RANGES.tsv	64217	e81534023517605655a00aeae82fcafe293922150106550f350fc21d1f4a8049
D3_DECODE_ROUTE.tsv	5079	1c1cc8ac06c44099b4a2a64f82394683fcd6a68e750e74a5464d3a3a978404bf
D3_MOE_TENSOR_RANGES.tsv	268723	2c4b1bb360f93b95f5ffa01c4e6df77974d813de69d861562d57366eb1d3d148
FINAL_DECISION.md	1234	2b712c2a85fbafaafa9777c0d6abb922026933ed104a8335a987270a6369852b
KV_LAYOUT_POINTS.tsv	533	210a0298986ff4ae8788bdf781b3faba0102d5875ca0c631a1d28ce681af39ef
MODEL_ASSET_METADATA.tsv	3813805	e2732d7d57b72b9ea70543ff871780288fef88dda95e78559397e95f6036f4b1
MODEL_ASSET_SUMMARY.tsv	1223	2cf5ef5121ac6d2600f557e3310f9b38c50f63c99f0ac344dd39b2882cdabf64
MODEL_DERIVED_PATTERN_PREREG.tsv	1715	1b0a4465c39df48f333a330c66687ec989b927969677194f3fc57dacbe809f3a
MODEL_DERIVED_RESULT_SUMMARY.tsv	1430	370342c530ec55cd811b816c59f279cf89d6fae1e8876b619bb91e7a232469e2
OPEN_ISSUES.md	769	80944eaae24333a98288d569a2819deb049459e3a022a3ef80dc35bbedaa0dce
PREREG_FREEZE_RECEIPT.json	1192	83101743ea11748bafaf1762844603a940c604a7be233d1c705c5fc3462e2f9a
PYTORCH_MANAGED_TENSOR_BRIDGE_STATUS.json	354	acd91218558ba2c8b63d8cb64d5419b17e6c4c42523a7834c47c8fcfaf576462
PYTORCH_MANAGED_TENSOR_BRIDGE_STATUS.md	452	4ec6b6aa4d2d8fb7bde3d1dd4025aede4802473dc96c75bad284c005aaab10cf
README.md	1051	7cf983b3726576864e2dc18cddb70b941c6fff12c573684e2f5f98dc617e6773
REAL_ROUTING_BEHAVIOR.tsv	1143	0ec209a70eff65b457503a3b5d14855da17a2d5d4cc04cf6e5bb41ddbdddb598
REPORT.md	1111	c9c1c590b5fb8610fd582aa23a90bd0809db35291ea413d2d1318e5412e64a9b
RUN_MATRIX.partial.tsv	5906	a842d544d26d750fa683b17f9b54a497ac5a46417194a70b565a5c5b935b9746
RUN_MATRIX.tsv	5906	a842d544d26d750fa683b17f9b54a497ac5a46417194a70b565a5c5b935b9746
