asset_role	model	revision	model_path	tensor_name	tensor_pattern	shape	dtype	byte_count	layer_id	expert_id	tensor_group	source_file	source_file_sha256	total_parameter_bytes	expert_pool_bytes	non_expert_bytes
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.embed_tokens.weight	model.embed_tokens.weight	[151936,4096]	BF16	1244659712	N/A	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.input_layernorm.weight	model.layers.{N}.input_layernorm.weight	[4096]	BF16	8192	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.down_proj.weight	model.layers.{N}.mlp.down_proj.weight	[4096,12288]	BF16	100663296	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.gate_proj.weight	model.layers.{N}.mlp.gate_proj.weight	[12288,4096]	BF16	100663296	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.up_proj.weight	model.layers.{N}.mlp.up_proj.weight	[12288,4096]	BF16	100663296	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.post_attention_layernorm.weight	model.layers.{N}.post_attention_layernorm.weight	[4096]	BF16	8192	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.k_norm.weight	model.layers.{N}.self_attn.k_norm.weight	[128]	BF16	256	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.k_proj.weight	model.layers.{N}.self_attn.k_proj.weight	[1024,4096]	BF16	8388608	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.o_proj.weight	model.layers.{N}.self_attn.o_proj.weight	[4096,4096]	BF16	33554432	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
DENSE_SELECTED	Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	/data/c16/models/.incoming/qwen3_8b/b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.q_norm.weight	model.layers.{N}.self_attn.q_norm.weight	[128]	BF16	256	0	N/A	NON_EXPERT	model-00001-of-00005.safetensors	31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f	16381470720	0	16381470720
