target	metric	kind	off_total	candidate_total	off_mean	candidate_mean	off_peak	candidate_peak
T0	translation.translation_not_ready	event	6610486	6523576	1.0	1.0	76	76
T0	memory.ldst_coal_stall	event	9357062	9270152	1.0	1.0	76	76
T0	memory.l1_reservation_fail	event	18939	18775	1.0	1.0	8	16
T0	memory.l2_reservation_fail	event	107864	107140	1.0	1.0	8	6
T0	memory.icnt_to_l2_occupancy	gauge	41642817	38138169	4.930281841	4.7726069	61	61
T0	memory.dram_queue_occupancy	gauge	60254955	60565444	6.382264061	6.780646979	64	64
T0	scheduler.dependency_scoreboard	event	5188513	5175294	1.0	1.0	304	304
T0	scheduler.eligible_structural	event	79840430	80008900	1.0	1.0	304	304
T0	scheduler.frontend_starvation	event	72965	73425	1.0	1.0	304	304
T1	translation.translation_not_ready	event	8273309	6507443	1.0	1.0	76	76
T1	memory.ldst_coal_stall	event	14985629	13219763	1.0	1.0	76	76
T1	memory.l1_reservation_fail	event	3850	110010	1.0	1.0	6	31
T1	memory.l2_reservation_fail	event	267353	129202	1.0	1.0	13	9
T1	memory.icnt_to_l2_occupancy	gauge	28596033	21605803	2.684359708	2.085705154	61	61
T1	memory.dram_queue_occupancy	gauge	9674371	9495708	0.812470942	0.820087511	21	23
T1	scheduler.dependency_scoreboard	event	2330097	2216190	1.0	1.0	304	304
T1	scheduler.eligible_structural	event	173757040	167229226	1.0	1.0	304	304
T1	scheduler.frontend_starvation	event	838217	1632647	1.0	1.0	304	304
T2	translation.translation_not_ready	event	3335835	3446713	1.0	1.0	76	76
T2	memory.ldst_coal_stall	event	3472027	3582905	1.0	1.0	76	76
T2	memory.l1_reservation_fail	event	1221939	1125174	1.0	1.0	179	189
T2	memory.l2_reservation_fail	event	89224	116099	1.0	1.0	7	7
T2	memory.icnt_to_l2_occupancy	gauge	57945038	43185082	38.908506484	28.703103399	61	61
T2	memory.dram_queue_occupancy	gauge	83085495	72439176	49.91222985	43.074662011	64	64
T2	scheduler.dependency_scoreboard	event	12290469	11925209	1.0	1.0	261	273
T2	scheduler.eligible_structural	event	11576171	11851238	1.0	1.0	304	304
T2	scheduler.frontend_starvation	event	77755	98485	1.0	1.0	152	152
A1	translation.translation_not_ready	event	3347622	3144051	1.0	1.0	76	76
A1	memory.ldst_coal_stall	event	3483814	3280243	1.0	1.0	76	76
A1	memory.l1_reservation_fail	event	9063894	8915934	1.0	1.0	240	225
A1	memory.l2_reservation_fail	event	65953	97714	1.0	1.0	9	8
A1	memory.icnt_to_l2_occupancy	gauge	27723569	29016292	15.182943513	15.713020405	61	61
A1	memory.dram_queue_occupancy	gauge	58903291	58151936	28.86012831	28.173077221	64	64
A1	scheduler.dependency_scoreboard	event	21417704	21783966	1.0	1.0	304	304
A1	scheduler.eligible_structural	event	9222338	9178070	1.0	1.0	304	304
A1	scheduler.frontend_starvation	event	686175	302586	1.0	1.0	152	152
A2	translation.translation_not_ready	event	3175736	3189222	1.0	1.0	76	76
A2	memory.ldst_coal_stall	event	3311928	3325414	1.0	1.0	76	76
A2	memory.l1_reservation_fail	event	9477276	9713833	1.0	1.0	232	230
A2	memory.l2_reservation_fail	event	30409	38170	1.0	1.0	8	8
A2	memory.icnt_to_l2_occupancy	gauge	25411619	26954287	13.494079657	14.560440255	61	61
A2	memory.dram_queue_occupancy	gauge	59227930	60516397	28.137746279	29.246390378	64	64
A2	scheduler.dependency_scoreboard	event	21468147	19426241	1.0	1.0	304	304
A2	scheduler.eligible_structural	event	9730802	11106135	1.0	1.0	304	304
A2	scheduler.frontend_starvation	event	380957	397039	1.0	1.0	152	152
