target	gate	pass
T0	rc_zero	True
T0	instructions_exact	True
T0	cta_exact	True
T0	uid_exact	True
T0	coverage_complete	True
T0	duplicate_application_zero	True
T0	terminal	True
T0	controller_quiescence	True
T0	coalescer_quiescence	True
T0	leader_completion_conservation	True
T0	follower_application_conservation	True
T0	capacity_bound	True
T0	waiter_bound	True
T0	physical_l1_suppression	True
T1	rc_zero	True
T1	instructions_exact	True
T1	cta_exact	True
T1	uid_exact	True
T1	coverage_complete	True
T1	duplicate_application_zero	True
T1	terminal	True
T1	controller_quiescence	True
T1	coalescer_quiescence	True
T1	leader_completion_conservation	True
T1	follower_application_conservation	True
T1	capacity_bound	True
T1	waiter_bound	True
T1	physical_l1_suppression	True
T2	rc_zero	True
T2	instructions_exact	True
T2	cta_exact	True
T2	uid_exact	True
T2	coverage_complete	True
T2	duplicate_application_zero	True
T2	terminal	True
T2	controller_quiescence	True
T2	coalescer_quiescence	True
T2	leader_completion_conservation	True
T2	follower_application_conservation	True
T2	capacity_bound	True
T2	waiter_bound	True
T2	physical_l1_suppression	True
SPLITKV	rc_zero	True
SPLITKV	instructions_exact	True
SPLITKV	cta_exact	True
SPLITKV	uid_exact	True
SPLITKV	coverage_complete	True
SPLITKV	duplicate_application_zero	True
SPLITKV	terminal	True
SPLITKV	controller_quiescence	True
SPLITKV	coalescer_quiescence	True
SPLITKV	leader_completion_conservation	True
SPLITKV	follower_application_conservation	True
SPLITKV	capacity_bound	True
SPLITKV	waiter_bound	True
SPLITKV	physical_l1_suppression	True
COMBINE	rc_zero	True
COMBINE	instructions_exact	True
COMBINE	cta_exact	True
COMBINE	uid_exact	True
COMBINE	coverage_complete	True
COMBINE	duplicate_application_zero	True
COMBINE	terminal	True
COMBINE	controller_quiescence	True
COMBINE	coalescer_quiescence	True
COMBINE	leader_completion_conservation	True
COMBINE	follower_application_conservation	True
COMBINE	capacity_bound	True
COMBINE	waiter_bound	True
COMBINE	physical_l1_suppression	True
A1	rc_zero	True
A1	instructions_exact	True
A1	cta_exact	True
A1	uid_exact	True
A1	coverage_complete	True
A1	duplicate_application_zero	True
A1	terminal	True
A1	controller_quiescence	True
A1	coalescer_quiescence	True
A1	leader_completion_conservation	True
A1	follower_application_conservation	True
A1	capacity_bound	True
A1	waiter_bound	True
A1	physical_l1_suppression	True
A2	rc_zero	True
A2	instructions_exact	True
A2	cta_exact	True
A2	uid_exact	True
A2	coverage_complete	True
A2	duplicate_application_zero	True
A2	terminal	True
A2	controller_quiescence	True
A2	coalescer_quiescence	True
A2	leader_completion_conservation	True
A2	follower_application_conservation	True
A2	capacity_bound	True
A2	waiter_bound	True
A2	physical_l1_suppression	True
