target	gate	pass
T0	rc_zero	True
T0	off_only	True
T0	cycles_exact	True
T0	instructions_exact	True
T0	cta_exact	True
T0	uid_exact	True
T0	coverage_complete	True
T0	physical_launch_exact	True
T0	l2_probe_exact	True
T0	mshr_merge_exact	True
T0	classification_conservation	True
T0	duplicate_completion_conservation	True
T0	timing_pair_conservation	True
T0	completion_without_launch_zero	True
T0	observer_quiescence	True
T0	controller_quiescence	True
T0	duplicate_application_zero	True
T0	terminal	True
T0	cap_1_lookup_conservation	True
T0	cap_1_merge_conservation	True
T0	cap_2_lookup_conservation	True
T0	cap_2_merge_conservation	True
T0	cap_4_lookup_conservation	True
T0	cap_4_merge_conservation	True
T0	cap_8_lookup_conservation	True
T0	cap_8_merge_conservation	True
T1	rc_zero	True
T1	off_only	True
T1	cycles_exact	True
T1	instructions_exact	True
T1	cta_exact	True
T1	uid_exact	True
T1	coverage_complete	True
T1	physical_launch_exact	True
T1	l2_probe_exact	True
T1	mshr_merge_exact	True
T1	classification_conservation	True
T1	duplicate_completion_conservation	True
T1	timing_pair_conservation	True
T1	completion_without_launch_zero	True
T1	observer_quiescence	True
T1	controller_quiescence	True
T1	duplicate_application_zero	True
T1	terminal	True
T1	cap_1_lookup_conservation	True
T1	cap_1_merge_conservation	True
T1	cap_2_lookup_conservation	True
T1	cap_2_merge_conservation	True
T1	cap_4_lookup_conservation	True
T1	cap_4_merge_conservation	True
T1	cap_8_lookup_conservation	True
T1	cap_8_merge_conservation	True
T2	rc_zero	True
T2	off_only	True
T2	cycles_exact	True
T2	instructions_exact	True
T2	cta_exact	True
T2	uid_exact	True
T2	coverage_complete	True
T2	physical_launch_exact	True
T2	l2_probe_exact	True
T2	mshr_merge_exact	True
T2	classification_conservation	True
T2	duplicate_completion_conservation	True
T2	timing_pair_conservation	True
T2	completion_without_launch_zero	True
T2	observer_quiescence	True
T2	controller_quiescence	True
T2	duplicate_application_zero	True
T2	terminal	True
T2	cap_1_lookup_conservation	True
T2	cap_1_merge_conservation	True
T2	cap_2_lookup_conservation	True
T2	cap_2_merge_conservation	True
T2	cap_4_lookup_conservation	True
T2	cap_4_merge_conservation	True
T2	cap_8_lookup_conservation	True
T2	cap_8_merge_conservation	True
SPLITKV	rc_zero	True
SPLITKV	off_only	True
SPLITKV	cycles_exact	True
SPLITKV	instructions_exact	True
SPLITKV	cta_exact	True
SPLITKV	uid_exact	True
SPLITKV	coverage_complete	True
SPLITKV	physical_launch_exact	True
SPLITKV	l2_probe_exact	True
SPLITKV	mshr_merge_exact	True
SPLITKV	classification_conservation	True
SPLITKV	duplicate_completion_conservation	True
SPLITKV	timing_pair_conservation	True
SPLITKV	completion_without_launch_zero	True
SPLITKV	observer_quiescence	True
SPLITKV	controller_quiescence	True
SPLITKV	duplicate_application_zero	True
SPLITKV	terminal	True
SPLITKV	cap_1_lookup_conservation	True
SPLITKV	cap_1_merge_conservation	True
SPLITKV	cap_2_lookup_conservation	True
SPLITKV	cap_2_merge_conservation	True
SPLITKV	cap_4_lookup_conservation	True
SPLITKV	cap_4_merge_conservation	True
SPLITKV	cap_8_lookup_conservation	True
SPLITKV	cap_8_merge_conservation	True
COMBINE	rc_zero	True
COMBINE	off_only	True
COMBINE	cycles_exact	True
COMBINE	instructions_exact	True
COMBINE	cta_exact	True
COMBINE	uid_exact	True
COMBINE	coverage_complete	True
COMBINE	physical_launch_exact	True
COMBINE	l2_probe_exact	True
COMBINE	mshr_merge_exact	True
COMBINE	classification_conservation	True
COMBINE	duplicate_completion_conservation	True
COMBINE	timing_pair_conservation	True
COMBINE	completion_without_launch_zero	True
COMBINE	observer_quiescence	True
COMBINE	controller_quiescence	True
COMBINE	duplicate_application_zero	True
COMBINE	terminal	True
COMBINE	cap_1_lookup_conservation	True
COMBINE	cap_1_merge_conservation	True
COMBINE	cap_2_lookup_conservation	True
COMBINE	cap_2_merge_conservation	True
COMBINE	cap_4_lookup_conservation	True
COMBINE	cap_4_merge_conservation	True
COMBINE	cap_8_lookup_conservation	True
COMBINE	cap_8_merge_conservation	True
A1	rc_zero	True
A1	off_only	True
A1	cycles_exact	True
A1	instructions_exact	True
A1	cta_exact	True
A1	uid_exact	True
A1	coverage_complete	True
A1	physical_launch_exact	True
A1	l2_probe_exact	True
A1	mshr_merge_exact	True
A1	classification_conservation	True
A1	duplicate_completion_conservation	True
A1	timing_pair_conservation	True
A1	completion_without_launch_zero	True
A1	observer_quiescence	True
A1	controller_quiescence	True
A1	duplicate_application_zero	True
A1	terminal	True
A1	cap_1_lookup_conservation	True
A1	cap_1_merge_conservation	True
A1	cap_2_lookup_conservation	True
A1	cap_2_merge_conservation	True
A1	cap_4_lookup_conservation	True
A1	cap_4_merge_conservation	True
A1	cap_8_lookup_conservation	True
A1	cap_8_merge_conservation	True
A2	rc_zero	True
A2	off_only	True
A2	cycles_exact	True
A2	instructions_exact	True
A2	cta_exact	True
A2	uid_exact	True
A2	coverage_complete	True
A2	physical_launch_exact	True
A2	l2_probe_exact	True
A2	mshr_merge_exact	True
A2	classification_conservation	True
A2	duplicate_completion_conservation	True
A2	timing_pair_conservation	True
A2	completion_without_launch_zero	True
A2	observer_quiescence	True
A2	controller_quiescence	True
A2	duplicate_application_zero	True
A2	terminal	True
A2	cap_1_lookup_conservation	True
A2	cap_1_merge_conservation	True
A2	cap_2_lookup_conservation	True
A2	cap_2_merge_conservation	True
A2	cap_4_lookup_conservation	True
A2	cap_4_merge_conservation	True
A2	cap_8_lookup_conservation	True
A2	cap_8_merge_conservation	True
