target	metric	window	off_mean	candidate_mean	off_p95	candidate_p95	off_p99	candidate_p99	off_max	candidate_max
T2	memory.ldst_coal_stall	512	19077.071428571	19472.309782609	35570	35569	38836	38836	38912	38912
T2	memory.l1_reservation_fail	512	6713.950549451	6115.076086957	44240	48880	82822	87717	88183	87936
T2	memory.l2_reservation_fail	512	490.241758242	630.972826087	1653	1911	2183	2307	2184	2522
T2	memory.dram_queue_occupancy	512	49.208791209	42.445652174	63	63	63	63	63	63
T2	translation.translation_not_ready	512	18328.763736264	18732.135869565	34104	33981	38760	38760	38912	38912
A1	memory.ldst_coal_stall	512	15622.484304933	14514.349557522	35543	35542	38543	38531	38905	38905
A1	memory.l1_reservation_fail	512	40645.264573991	39451.03539823	92575	78792	104842	98880	116466	109911
A1	memory.l2_reservation_fail	512	295.753363229	432.362831858	1797	1678	2504	2367	3771	3051
A1	memory.dram_queue_occupancy	512	28.349775785	27.623893805	59	58	63	63	63	63
A1	translation.translation_not_ready	512	15011.757847534	13911.730088496	33849	33852	38366	38339	38897	38897
