workload	point	mode	modeled_value	reference_point	reference_mode	cycles	reference_cycles	cycles_over_reference	speedup_vs_reference	status
BICG	128	IO	128_entries	pib_128_IO	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	128	OO	128_entries	pib_128_IO	IO	47231655	93942704	0.502770870	1.988977604	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	192	IO	192_entries	pib_128_IO	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	192	OO	192_entries	pib_128_IO	IO	47231655	93942704	0.502770870	1.988977604	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	256	IO	256_entries	pib_128_IO	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	256	OO	256_entries	pib_128_IO	IO	47231655	93942704	0.502770870	1.988977604	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	IO	32_entries	pib_128_IO	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	OO	32_entries	pib_128_IO	IO	47231655	93942704	0.502770870	1.988977604	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	64	IO	64_entries	pib_128_IO	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	64	OO	64_entries	pib_128_IO	IO	47231655	93942704	0.502770870	1.988977604	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	128	IO	128_entries	pib_128_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	128	OO	128_entries	pib_128_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	192	IO	192_entries	pib_128_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	192	OO	192_entries	pib_128_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	256	IO	256_entries	pib_128_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	256	OO	256_entries	pib_128_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	IO	32_entries	pib_128_IO	IO	270128	244231	1.106034860	0.904130634	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	OO	32_entries	pib_128_IO	IO	173346	244231	0.709762479	1.408922040	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	64	IO	64_entries	pib_128_IO	IO	246538	244231	1.009445975	0.990642416	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	64	OO	64_entries	pib_128_IO	IO	172377	244231	0.705794924	1.416842154	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	128	IO	128_entries	pib_128_IO	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	128	OO	128_entries	pib_128_IO	IO	143059605	210667785	0.679076799	1.472587492	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	192	IO	192_entries	pib_128_IO	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	192	OO	192_entries	pib_128_IO	IO	143059605	210667785	0.679076799	1.472587492	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	256	IO	256_entries	pib_128_IO	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	256	OO	256_entries	pib_128_IO	IO	143059605	210667785	0.679076799	1.472587492	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	IO	32_entries	pib_128_IO	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	OO	32_entries	pib_128_IO	IO	143059605	210667785	0.679076799	1.472587492	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	64	IO	64_entries	pib_128_IO	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	64	OO	64_entries	pib_128_IO	IO	143059605	210667785	0.679076799	1.472587492	CANDIDATE_PENDING_STAGE6_HANDOFF
