workload	mode	l1_accesses	l1_misses	l2_accesses	l2_misses	l2_reservation_fails	global_reads	global_writes
ATAX	BASE	24118272	19288430	23410059	8229071	16622	19215755	4194304
ATAX	IO	4194304	1024	75480464	54580608	511965611	17821540	4194304
ATAX	OO	4194304	1024	75453520	30229758	279436348	17814804	4194304
BICG	BASE	24118272	19288616	23410207	8658491	15836	19214879	4195328
BICG	IO	4195328	1024	75480904	57928040	545898509	17821394	4195328
BICG	OO	4195328	1024	75454980	29460660	266141122	17814913	4195328
GESUMMV	BASE	42992640	34550711	38589589	17020340	142	34394773	4194816
GESUMMV	IO	4194816	1024	142577072	127045764	949202091	34595564	4194816
GESUMMV	OO	4194816	1024	142587208	89362448	572572229	34598098	4194816
GEMM	BASE	37814272	31358286	33623372	0	0	16813388	16809984
GEMM	IO	16809984	10940304	33837244	0	0	4256815	16809984
GEMM	OO	16809984	10495472	33262780	0	0	4113199	16809984
2DConvolution	BASE	24080908	10458311	10458311	4193280	0	8362183	2096128
2DConvolution	IO	2096128	2096128	15599452	4193280	4697599	3375831	2096128
2DConvolution	OO	2096128	2096128	15319944	4193280	2475747	3305954	2096128
Btree	BASE	4249841	1502347	1568407	226984	3372	1458407	110000
Btree	IO	110000	63689	2141116	291650	5159	507779	110000
Btree	OO	110000	63943	2119800	291654	7260	502450	110000
DWT2D	BASE	1704000	1666671	1666671	1138288	10034	757359	909312
DWT2D	IO	909312	909312	1837772	1139332	1024582	232115	909312
DWT2D	OO	909312	909312	1837372	1139252	1025335	232015	909312
Gaussian	BASE	9409320	2344059	5133879	0	0	1951815	3182064
Gaussian	IO	3182064	1042430	8871176	0	0	1422278	3182064
Gaussian	OO	3182064	1043283	8925720	0	0	1435914	3182064
Hotspot1	BASE	877690	876827	876829	230500	0	701725	175104
Hotspot1	IO	175104	175102	1582532	250340	2681	351857	175104
Hotspot1	OO	175104	175098	1582452	250436	3205	351837	175104
LUD	BASE	1413600	1362934	1413122	0	0	1048098	365024
LUD	IO	365024	365024	2433952	0	0	517232	365024
LUD	OO	365024	365024	2438912	0	0	518472	365024
NN	BASE	26728	16037	16037	5346	0	10691	5346
NN	IO	5346	5346	16038	5347	0	2673	5346
NN	OO	5346	5346	16038	5347	0	2673	5346
MRI-Q	BASE	87168	77104	87168	8576	0	62208	24960
MRI-Q	IO	24960	24960	87028	8576	2225	15517	24960
MRI-Q	OO	24960	24960	87024	8576	2235	15516	24960
