workload	point	mode	modeled_value	reference_point	reference_mode	cycles	reference_cycles	cycles_over_reference	speedup_vs_reference	status
BICG	16	IO	16384	logical_16_same_mode	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	16	OO	16384	logical_16_same_mode	OO	47231655	47231655	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	IO	32768	logical_16_same_mode	IO	93942704	93942704	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	OO	32768	logical_16_same_mode	OO	47182217	47231655	0.998953287	1.001047810	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	64	IO	65536	logical_16_same_mode	IO	93697186	93942704	0.997386513	1.002620335	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	64	OO	65536	logical_16_same_mode	OO	42468441	47231655	0.899152083	1.112158909	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	16	IO	16384	logical_16_same_mode	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	16	OO	16384	logical_16_same_mode	OO	172795	172795	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	IO	32768	logical_16_same_mode	IO	235454	244231	0.964062711	1.037276920	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	OO	32768	logical_16_same_mode	OO	152508	172795	0.882594982	1.133022530	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	64	IO	65536	logical_16_same_mode	IO	233835	244231	0.957433741	1.044458700	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	64	OO	65536	logical_16_same_mode	OO	146453	172795	0.847553459	1.179866578	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	16	IO	16384	logical_16_same_mode	IO	210667785	210667785	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	16	OO	16384	logical_16_same_mode	OO	143059605	143059605	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	IO	32768	logical_16_same_mode	IO	210846031	210667785	1.000846100	0.999154615	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	OO	32768	logical_16_same_mode	OO	142658326	143059605	0.997195022	1.002812868	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	64	IO	65536	logical_16_same_mode	IO	207818420	210667785	0.986474605	1.013710839	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	64	OO	65536	logical_16_same_mode	OO	115909158	143059605	0.810215840	1.234239015	CANDIDATE_PENDING_STAGE6_HANDOFF
