relative_path	size	sha256	classification
model-00001-of-00016.safetensors	3999417504	454e77b346a61bfb201d54df60e15158838cf930617ee135113556204f2802b5	MODEL_WEIGHT_SHARD
model-00002-of-00016.safetensors	3999974192	47f015d6e5bb1782a834d75c06113c5e8c77ddca1cb7daf89686a4ec0deda19e	MODEL_WEIGHT_SHARD
model-00003-of-00016.safetensors	3997360832	ac0bf5990f2da995c1e8b77a3149dee71900b4fe1b8a614231dea9647193d96b	MODEL_WEIGHT_SHARD
model-00004-of-00016.safetensors	3999975056	89b01fd34a683c70fdb7f22c2e7090538d65063335ba0db46f3654642b17d1e5	MODEL_WEIGHT_SHARD
model-00005-of-00016.safetensors	3999975400	9849eb3584d928e35bf5956ccfd91b64207467e1fad8304aae68dc4d92d6d6d9	MODEL_WEIGHT_SHARD
model-00006-of-00016.safetensors	3999975400	f7a0f1525557d740158fb692986ad43506e1b5901e7406ae65808c6457bc53ad	MODEL_WEIGHT_SHARD
model-00007-of-00016.safetensors	3999975472	920702a50f27a009e5f676da3b02978dbd794f6ad7854f301d709136154c1a84	MODEL_WEIGHT_SHARD
model-00008-of-00016.safetensors	3997362064	a85bf0cc8a8047c116172d4c08cf4792eb59d4375032708ba3e1a7ffca0f708a	MODEL_WEIGHT_SHARD
model-00009-of-00016.safetensors	3999975408	25cd8aaed86b8e17685efb152912f92448ea3fffb1bdc247f257f04d05907604	MODEL_WEIGHT_SHARD
model-00010-of-00016.safetensors	3999975400	7c3307ee214797c4bc61c0994f81d690e768150df5f14d18edf84e53ba4810dc	MODEL_WEIGHT_SHARD
model-00011-of-00016.safetensors	3999975408	c658cad2842d36fa4c7c7f726f8515dc5670a3d80c94e13257d4e322ffe61988	MODEL_WEIGHT_SHARD
model-00012-of-00016.safetensors	3987400496	8cb898bc5e78492600053d1105c9ff61d7a719f5cc2802df63e41535a652cc26	MODEL_WEIGHT_SHARD
model-00013-of-00016.safetensors	3997353632	599594421f314cb8e8ab4474db0eb490cc6310585067e82d73821254b93319ce	MODEL_WEIGHT_SHARD
model-00014-of-00016.safetensors	3999975400	66d3294e9976b5f01d117a0a0bed768f128a8898eb6937e224d051de2961d363	MODEL_WEIGHT_SHARD
model-00015-of-00016.safetensors	3999975400	2fe000da4fc7399ff6303bb0daec8c415a5d850f5ea53863392758c77fc37664	MODEL_WEIGHT_SHARD
model-00016-of-00016.safetensors	1087928584	0c979e314faf06e94a5e1841abd285d4e26e763c79c1abe7710d543192d9da48	MODEL_WEIGHT_SHARD
.gitattributes	1570	34448b82c17d60fec9b65b1f093c115ddbaadc04beb1b0140b6bfed2e012a930	EXACT_REVISION_NON_WEIGHT_AUTHORITY
LICENSE	11343	832dd9e00a68dd83b3c3fb9f5588dad7dcf337a0db50f7d9483f310cd292e92e	EXACT_REVISION_NON_WEIGHT_AUTHORITY
README.md	16798	1897b7cdf7b5f45ae847b87f9b416d4635fe73228e0daac669a4e1f3e5948858	EXACT_REVISION_NON_WEIGHT_AUTHORITY
config.json	963	2850ddb3bf7aecad20b611e2d44f3077fc8193f4827c93beddd4c02ad63c2297	EXACT_REVISION_NON_WEIGHT_AUTHORITY
generation_config.json	239	2325da0f15bb848e018c5ae071b7943332e9f871d6b60e2ed22ca97d4cb993d2	EXACT_REVISION_NON_WEIGHT_AUTHORITY
merges.txt	1671853	8831e4f1a044471340f7c0a83d7bd71306a5b867e95fd870f74d0c5308a904d5	EXACT_REVISION_NON_WEIGHT_AUTHORITY
model.safetensors.index.json	1699758	df0d481ec595c55a0ba58426d517390c6214a566ec4ff1c8fc4bbce9f57b3c24	EXACT_REVISION_NON_WEIGHT_AUTHORITY
tokenizer.json	11422654	aeb13307a71acd8fe81861d94ad54ab689df773318809eed3cbe794b4492dae4	EXACT_REVISION_NON_WEIGHT_AUTHORITY
tokenizer_config.json	9732	d5d09f07b48c3086c508b30d1c9114bd1189145b74e982a265350c923acd8101	EXACT_REVISION_NON_WEIGHT_AUTHORITY
vocab.json	2776833	ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910	EXACT_REVISION_NON_WEIGHT_AUTHORITY
