category	target	mode	level	tag	artifact	path	sha256	bytes	status
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	command.json	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/command.json	7f6a7bf7314e21c664338b89502db25e0d8048d5cd7ac6ce7f4f139a3ea241b6	4066	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	end_utc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/end_utc.txt	e82da85537604cb22c962c0a963905bf7717256783f6e03ac7a05b9694b0d6a5	21	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	host_metrics.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/host_metrics.txt	7becd84fb202e8c553575c1e2618b962c49f9e5f571986fcf383d89bca16907a	114	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	rc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	run.log	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/run.log	7a9b424d9be74c20914f78c49cdca908968cdcfb7fa7356f8f593cbaa28ef342	140423	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	run.stderr	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/run.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L0	semantic_gate	start_utc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L0_semantic_gate/start_utc.txt	5f29f67789002dc08a6fae99a4882f5ca81ee5fcbd69f327eb9422d7b4df80a0	21	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	command.json	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/command.json	d3d275a8d9d4a9e72aa8b95d33c1ea64cd7331fbacf7550ab632443e23eb043a	4059	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	end_utc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/end_utc.txt	03da0a9a569e212530ffcb2a08422e593deecee1ce9bfc34f2f7d35e3ae03db0	21	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	host_metrics.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/host_metrics.txt	e81a355790bc86f959f31f0d4ce3189dfd5660988a1c115c4562a654f81fcd38	114	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	rc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	run.log	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/run.log	1d430231e83e70be39f1e28afb2f0b5d8fca86210685db569707112fc0af0226	144450	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	run.stderr	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/run.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L1	triage	start_utc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L1_triage/start_utc.txt	57874da4e70f12a430217423f442891a744084c3a811c6a3eb5ac878050d7481	21	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	command.json	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/command.json	a97e603ed912926cec584104fb57621a74297150c3b0c5d96a99e34a58648262	4129	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	end_utc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/end_utc.txt	69320918a8604880ad9af1785945dd44b55bea310fe02d96301cf189df7b0c08	21	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	host_metrics.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/host_metrics.txt	b6ecf8013c89ef7e8351b3af244d2e0f32858084c4c4d428955d34a86c521a00	114	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	rc.txt	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	run.log	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/run.log	fda402e29d1fb5b624e0e38da4201b123e90bae782902577f7b8a0ecb166b87e	200119	FORMAL
DIAGNOSTIC_RUN	A1	candidate	L2	windowed	run.stderr	/root/awma_c1_a2_nonsharing_regression_attribution_v1_runtime/runs/A1/candidate/L2_windowed/run.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	FORMAL
