suite,tier,case,trace_rel,expected_decoupled_regex
# Locally cached Rodinia 2.0-ft V100 traces.  These are application-level
# complements to the public Ubench/CUDA-SDK mechanism matrix.
rodinia20,dev,backprop,backprop-rodinia-2.0-ft/4096___data_result_4096_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,dev,bfs,bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,extended,heartwall,heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,dev,hotspot,hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,smoke,lud,lud-rodinia-2.0-ft/_v__b__i___data_64_dat/traces,access=[1-9].*otf=[1-9]
rodinia20,dev,nn,nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,dev,nw,nw-rodinia-2.0-ft/128_10___data_result_128_10_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,extended,pathfinder,pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,extended,srad_v2,srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt/traces,access=[1-9].*otf=[1-9]
rodinia20,extended,streamcluster,streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt/traces,access=[1-9].*otf=[1-9]
