output_file	output_column	source_artifact	source_metric_keys	formula	units_or_normalization	missing_disposition
fast12_summary.csv	workload	FAST64.4 matrix	workload	identity	member	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	base_cycles	FAST64.4 Base compact JSON	gpu_tot_sim_cycle	identity	cycles	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	io_cycles	FAST64.4 IO compact JSON	gpu_tot_sim_cycle	identity	cycles	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	oo_cycles	FAST64.4 OO compact JSON	gpu_tot_sim_cycle	identity	cycles	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	speedup_io	FAST64.4 compact triplet	gpu_tot_sim_cycle(BASE),gpu_tot_sim_cycle(IO)	Base/IO	ratio	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	speedup_oo	FAST64.4 compact triplet	gpu_tot_sim_cycle(BASE),gpu_tot_sim_cycle(OO)	Base/OO	ratio	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_summary.csv	instructions	FAST64.4 Base compact JSON	gpu_tot_sim_insn	identity	instructions	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	workload	FAST64.3 structural companion	workload	identity	member	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	pib_full_events	FAST64.3 Base compact JSON	DTC_L1_pib_full_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	cacheline_all_lines_reserved_events	FAST64.3 structural companion	cacheline_all_lines_reserved_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	tag_bank_conflicts	FAST64.3 structural companion	tag_bank_conflicts	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	mshr_entry_full_events	FAST64.3 structural companion	mshr_entry_full_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	mshr_merge_full_events	FAST64.3 structural companion	mshr_merge_full_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	miss_queue_downstream_full_events	FAST64.3 structural companion	miss_queue_downstream_full_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_stalls.csv	base_lower_cap_full	FAST64.4 Base compact JSON	DTC_L1_lower_cap_full_events	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	workload	FAST64.4 matrix	workload	identity	member	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	mode	FAST64.4 matrix	mode	identity	mode	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	create_or_acquire	FAST64.4 compact JSON	BASE:DTC_L1_lower_requests_acquired;IO/OO:DTC_L1_lower_credit_acquired	mode-specific identity	requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	complete_or_release	FAST64.4 compact JSON	BASE:DTC_L1_lower_requests_released;IO/OO:DTC_L1_lower_credit_released	mode-specific identity	requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	peak	FAST64.4 compact JSON	DTC_L1_lower_outstanding_peak	identity	global requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	average_per_sm	Core telemetry audit	NO_LOWER_OUTSTANDING_OCCUPANCY_INTEGRAL	NOT_DERIVED	MISSING_SOURCE_DEFINED_AVERAGE	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_live_misses.csv	terminal_lower	FAST64.4 compact JSON	DTC_L1_lower_outstanding	identity	global requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	workload	FAST64.4 matrix	workload	identity	member	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	mode	FAST64.4 matrix	mode	identity	mode	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	l1_accesses	FAST64.4 compact JSON	L1D_total_cache_accesses	identity	accesses	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	l1_misses	FAST64.4 compact JSON	L1D_total_cache_misses	identity	accesses	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	l2_accesses	FAST64.4 compact JSON	L2_total_cache_accesses	identity	accesses	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	l2_misses	FAST64.4 compact JSON	L2_total_cache_misses	identity	accesses	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	l2_reservation_fails	FAST64.4 compact JSON	L2_total_cache_reservation_fails	identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	global_reads	FAST64.4 compact JSON	gpgpu_n_mem_read_global	identity	requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_traffic.csv	global_writes	FAST64.4 compact JSON	gpgpu_n_mem_write_global	identity	requests	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	workload	FAST64.4 matrix	workload	identity	member	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	mode	FAST64.4 matrix	mode	identity	mode	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	head_not_ready	FAST64.4 IO compact JSON	DTC_L1_io_head_not_ready_cycles	identity	cycles; UNSUPPORTED in OO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	head_ready	FAST64.4 IO compact JSON	DTC_L1_io_pib_head_ready_cycles	identity	cycles; UNSUPPORTED in OO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	hol_cycles	FAST64.4 IO compact JSON	DTC_L1_io_hol_ready_younger_cycles	identity	cycles; UNSUPPORTED in OO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	hol_count	FAST64.4 IO compact JSON	DTC_L1_io_hol_ready_younger_count_sum	identity	events; UNSUPPORTED in OO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	retire	FAST64.4 compact JSON	IO:DTC_L1_io_retire_count;OO:DTC_L1_oo_retire_count	mode-specific identity	events	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	ooo_retire	FAST64.4 OO compact JSON	DTC_L1_oo_out_of_order_retires	identity	events; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	immediate_reclaim	FAST64.4 OO compact JSON	DTC_L1_oo_immediate_reclaims	identity	events; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	deferred_reclaim	FAST64.4 OO compact JSON	DTC_L1_oo_deferred_reclaims	identity	events; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	final_ref_reclaim	FAST64.4 OO compact JSON	DTC_L1_oo_final_ref_reclaims	identity	events; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	active_refs	FAST64.4 OO compact JSON	DTC_L1_oo_active_refs	identity	references; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
fast12_io_oo.csv	wakeups	FAST64.4 OO compact JSON	DTC_L1_oo_wakeups	identity	events; UNSUPPORTED in IO	SOURCE_DEFINED_OR_EXPLICIT_MISSING
