target_id	run_id	node164_raw_path	capture_path_109	raw_trace_path_109	raw_sha256	traceg_sha256	terminal_status	drop_overflow
DECODE_FLASH_PRIMARY_1	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-1_20260918T030844Z_fbd73751c9df	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-1_20260918T030844Z_fbd73751c9df	/data/c16/awma/storage_sidelane_v1/captures/DECODE_FLASH_PRIMARY_1_formal_20260917T212700Z	/data/c16/awma/storage_sidelane_v1/captures/DECODE_FLASH_PRIMARY_1_formal_20260917T212700Z/raw/kernel-1748-ctx_0x55c188f7ab60.trace.xz	e326f65b2f465610f8410585a8c0317b41dfcffb1c60710bdd733650ed2df45e	cbd46eac226aceebcaafbf8fab4785c3aefae307a2c9a9337f0aeca47815980a	COMPLETE	0/0
DECODE_FLASH_PRIMARY_2	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-2_20260918T034826Z_9e13a6a571f4	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-2_20260918T034826Z_9e13a6a571f4	/data/c16/awma/unattended_campaign_v1/targets/DECODE_FLASH_PRIMARY_2/formal_20260918T034216Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_FLASH_PRIMARY_2/formal_20260918T034216Z/raw/kernel-1018-ctx_0x5e34681921c0.trace.xz	94b1331ea7c0845860cf0138c0974cf3806b98b211c23618f4415dbccb9442ee	8a28a18b8dcc3213ee5beabf55602dd33173bb930e4fb08d902280efd36b4fc7	COMPLETE	0/0
DECODE_GEMV_PRIMARY_STEP16	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step16_20260918T074437Z_b0dfb1af1ae1	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step16_20260918T074437Z_b0dfb1af1ae1	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP16/formal_20260918T073814Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP16/formal_20260918T073814Z/raw/kernel-17039-ctx_0x5ddb6907c160.trace.xz	f801b27ac61e54cfb32cfd326dc367fb77749999516409490a3c6aa138a922d8	b87cd6cb6a2bc0f67e17616e26d1bf9091facad242d46a43f5f9c1ac274b6138	COMPLETE	0/0
DECODE_GEMV_PRIMARY_STEP24	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step24_20260918T075713Z_c4a404488907	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step24_20260918T075713Z_c4a404488907	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP24/formal_20260918T075032Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP24/formal_20260918T075032Z/raw/kernel-25463-ctx_0x648125b15f50.trace.xz	cdf4ccc7be384203fcd1c9c006cdc175ac49bb0d31d35a47e08c357d008e4112	06eb4458edb4b034a727cc4d7890ff8410e368d7f9adefbc3a65b690254a21a0	COMPLETE	0/0
DECODE_GEMV_PRIMARY_STEP32	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step32_20260918T080933Z_df828f6cbcf6	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step32_20260918T080933Z_df828f6cbcf6	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP32/formal_20260918T080308Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP32/formal_20260918T080308Z/raw/kernel-33887-ctx_0x61f3806d3560.trace.xz	df9f4a7e069ce82bff613bac741e9af182d63f3d871f98804af0cf5ffa6fc6c8	332f918831edcdebdcbaebd65f2f4db892c641ec988d34eb523f5eb7985413e8	COMPLETE	0/0
DECODE_GEMV_PRIMARY_STEP4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step4_20260918T072000Z_1f540a7c5218	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step4_20260918T072000Z_1f540a7c5218	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP4/formal_20260918T071323Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP4/formal_20260918T071323Z/raw/kernel-4403-ctx_0x6080e5f2b780.trace.xz	cff4e33d5f933b8995a9ee23d9b92c9657db85ef1c16b14a5fd0a96157af4915	e8c0f7eefa567889178b9a7d1447c9c6ee83ced1cef9efd6eea19331861595b9	COMPLETE	0/0
DECODE_GEMV_PRIMARY_STEP8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step8_20260918T073217Z_91ee6ec83623	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step8_20260918T073217Z_91ee6ec83623	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP8/formal_20260918T072556Z	/data/c16/awma/unattended_campaign_v1/targets/DECODE_GEMV_PRIMARY_STEP8/formal_20260918T072556Z/raw/kernel-8615-ctx_0x55cbbe175c50.trace.xz	c0a49394ec0e400767534205f423d81757b6d13a6b5146c4e337922c5a480091	a7cd41b534f27c8c16c24b07ae01b93d8a3c6c326e9c968b01961ea57af3ae7c	COMPLETE	0/0
PREFILL_FLASH_OCC2	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ2_20260918T041053Z_cc66696445b8	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ2_20260918T041053Z_cc66696445b8	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC2/formal_20260918T040005Z	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC2/formal_20260918T040005Z/raw/kernel-114-ctx_0x649a45341800.trace.xz	a4259e140a3b2a2da0af08e928c22c3934c58904f241c3a91de2be0797192f6e	a4593f1099864cfc3f8e5dac71d14d92fb429a3c6e3257c531129b04e0316481	COMPLETE	0/0
PREFILL_FLASH_OCC4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ4_20260918T042948Z_2a49a61553fb	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ4_20260918T042948Z_2a49a61553fb	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC4/formal_20260918T041938Z	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC4/formal_20260918T041938Z/raw/kernel-194-ctx_0x5a5c2b62b620.trace.xz	4a9c09791cd6967038af5872787a95ccff715c70e61c57c982e6856effb7e9a0	4375a9cfb33e2823ecaf4419282d0c14fb3d37a6caa0041b29b047babcd5a0ab	COMPLETE	0/0
PREFILL_FLASH_OCC6	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ6_20260918T044821Z_3a843fb98efa	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ6_20260918T044821Z_3a843fb98efa	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC6/formal_20260918T043820Z	/data/c16/awma/unattended_campaign_v1/targets/PREFILL_FLASH_OCC6/formal_20260918T043820Z/raw/kernel-274-ctx_0x56e03185cd40.trace.xz	4c21f10ca8c86c8c26e4e102ec906fc72934e6f3285aa5b397b416e33cfbb51a	840849e0154045a2b258ad92bcd249e0f033b438f745b5e00eb96dcf6d4c11f6	COMPLETE	0/0
