first_seen_utc	last_seen_utc	lock_pid	command	status
2026-09-18T03:06:35Z	2026-09-18T03:06:35Z	767495	bash --noprofile --norc	HELD
2026-09-18T03:11:30Z	2026-09-18T03:11:30Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:12:05Z	2026-09-18T03:12:05Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:13:05Z	2026-09-18T03:13:05Z	770489	nvdisasm -b SM86 /tmp/nvbit_code_Yi99pG 	HELD
2026-09-18T03:14:08Z	2026-09-18T03:14:08Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:15:02Z	2026-09-18T03:15:02Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:16:32Z	2026-09-18T03:16:32Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:17:17Z	2026-09-18T03:17:17Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:18:59Z	2026-09-18T03:18:59Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:19:56Z	2026-09-18T03:19:56Z	767495	bash --noprofile --norc 	HELD
2026-09-18T03:24:56Z	2026-09-18T03:24:56Z			AVAILABLE
