workload	mode	evidence_path
ATAX	BASE	fast64_repaired_ramp3_v1/fast64_atax_base_core95ccdb7a_a1_r1.json
ATAX	IO	fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json
ATAX	OO	fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json
BICG	BASE	fast64_repaired_ramp2_v1/fast64_bicg_base_core95ccdb7a_a1_r1.json
BICG	IO	fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json
BICG	OO	fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json
GESUMMV	BASE	fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json
GESUMMV	IO	fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json
GESUMMV	OO	fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json
GEMM	BASE	fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json
GEMM	IO	fast64_4_precomputed_rows_v1/fast64_4_gemm_io_cap8192_a1_v3.json
GEMM	OO	fast64_4_precomputed_rows_v1/fast64_4_gemm_oo_cap8192_a1_v3.json
2DConvolution	BASE	fast64_3_tag_identity_repair_v2/fast64_3_2DConvolution_base_core6587238c_a1_v1.json
2DConvolution	IO	fast64_4_cap16384_recovery_v1/fast64_4_2DConvolution_io_cap16384_core658_a1_v1.json
2DConvolution	OO	fast64_4_2d_tag_identity_v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1.json
Btree	BASE	fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json
Btree	IO	fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json
Btree	OO	fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json
DWT2D	BASE	fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json
DWT2D	IO	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_io_cap8192_a1_v3_recovered_v2.json
DWT2D	OO	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_oo_cap8192_a1_v3_recovered_v2.json
Gaussian	BASE	fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_base_cap16384_core95_a1_v1.json
Gaussian	IO	fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_io_cap16384_core95_a1_v1.json
Gaussian	OO	fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_oo_cap16384_core95_a1_v1.json
Hotspot1	BASE	fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json
Hotspot1	IO	fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_io_cap32768_core95_a1_v1.json
Hotspot1	OO	fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1.json
LUD	BASE	fast64_4_cap16384_recovery_v1/fast64_4_LUD_base_cap16384_core95_a1_v1.json
LUD	IO	fast64_4_cap16384_recovery_v1/fast64_4_LUD_io_cap16384_core95_a1_v1.json
LUD	OO	fast64_4_cap16384_recovery_v1/fast64_4_LUD_oo_cap16384_core95_a1_v1.json
NN	BASE	fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json
NN	IO	fast64_4_primary_core95_v1/fast64_4_primary_nn_io_core95ccdb7a_a1_v1.json
NN	OO	fast64_4_primary_core95_v1/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1.json
MRI-Q	BASE	fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json
MRI-Q	IO	fast64_repaired_ramp_v1/fast64_mriq_io_core95ccdb7a_a1_r1.json
MRI-Q	OO	fast64_repaired_ramp_v1/fast64_mriq_oo_core95ccdb7a_a1_r1.json
