source_lane	source_commit	original_repository_path	git_blob_sha	sha256	local_snapshot_path	evidence_class	scientific_role
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST12_summary.tsv	e470d8b44021aa4be81c1db1013a9bfdd88156da	f576a81be0b52882aa738a074e0c31f5a4529efc10c54240338eda15f4ec02b4	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST12_summary.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST64_7_INPUT_MANIFEST.tsv	f06f46765e7602f715df8c3662101315b8d0ebdc	5bdedcbddee215019bbc7ff76d13d43754715cb807d6d6c607025154d006861c	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST64_7_INPUT_MANIFEST.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/aggregate_membership.tsv	68a08c1a3d43c55f6674dabac7b0cc2b82bac52d	acac705b26859ea340b98f01f2c4baf60bc10b8f8c8efcec3b8bdb6299502a4c	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/aggregate_membership.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_expected_deadlocks.tsv	cc4071a516071012a2134a7c3eef6d598ed6d7ce	6b12976e7a78883bce130048f4f4820b1ee9b80f5ecc4788df2d81a7f1ee8d47	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_expected_deadlocks.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	74a7c6b3abf182a38ba535a9ff78a09f37252923	fee2f86f1c769c4dae16af0a4bf723ed5fc568048a6719fe8843fb848d330f0e	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_physical_plot.tsv	f5e27c48668b51734c3d960e6ad26da43241c066	6f4830c101367fa180fba0436acb23dfc9e74f6bae888c061bc2af2af3af0f6b	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_physical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_pib_plot.tsv	a94dea5bb106312c5b45b28578e650a0ac83d21d	ea50d25be55dca4f4c5f5f2d128f0e6ba7c515acc33a7d49f83c6673506b4fee	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_pib_plot.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/io_oo_mechanism.tsv	b0ab3d7b48bb006ec90e5bd26ddabb622a321a25	88cb1f5f1904ed1b2c38133260d9e5ea8af984abc362ce93dfba587abd322747	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/io_oo_mechanism.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/limitations_boundary.md	a80daef074139ac4e156425da770df7c6d2ea6c4	532a9fdac7d3386707657483420d326cb7a06c0f3e16bf1b90aa7e9277e1a500	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/limitations_boundary.md	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
fast64	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/structural_pressure.tsv	d515d8366612c23e8a578e59d1f0e012612ece6d	836aab3f27394ef210af48bc0023ee2c5efca92c79575678608ed69fdce301da	inputs/fast64/docs/dtc_l1/fast64/review_packs/FAST64_FINAL/structural_pressure.tsv	ACCEPTED_FAST64_EVIDENCE	immutable primary performance and sensitivity authority
