claim_id	claim_text	evidence_class	source_artifact	supported_scope	forbidden_overclaim
C01_PRIMARY_FAST12_GM	IO/OO GM is recomputed only from the exact 12 accepted FAST12 integer-cycle rows.	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv	all 12 primary workloads	Do not enter diagnostic observer rows into GM.
C02_IO_REGRESSIONS	ATAX, BICG, and GESUMMV retain IO regressions while OO is faster than Base.	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv	ATAX,BICG,GESUMMV	Do not hide negative IO rows.
C03_GAUSSIAN_MODEST_BENEFIT	Gaussian has an approximately 1.108x modest benefit in paper-facing wording.	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_primary_performance.tsv	Gaussian	Do not call the accepted benefit no benefit.
C04_PRESSURE_NONEXCLUSIVE	Base pressure counters are separate nonexclusive accumulated exposure counters.	ACCEPTED_FAST64_EVIDENCE	Lane A paper_base_pressure_raw.tsv	all FAST12 workloads	Do not stack them into a causal 100% breakdown.
C05_IO_HOL_SCOPE	IO HOL exposure is hol_ready_younger_cycles/(64*io_cycles).	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_io_oo_mechanism.tsv	all FAST12 IO rows	Not an exclusive stall probability or causal share.
C06_OO_RETIRE_SCOPE	OO out-of-order-retire fraction is ooo_retires/retire_count.	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_io_oo_mechanism.tsv	all FAST12 OO rows	Not exclusive causal attribution.
C07_LOGICAL_SENSITIVITY	Logical-capacity curves use accepted same-mode normalized points.	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_sens_logical.tsv	BICG,GESUMMV,Btree	No universal optimum.
C08_PHYSICAL_SENSITIVITY	Physical-pool curves retain only accepted numeric points and explicit boundaries.	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_sens_physical.tsv	BICG,GESUMMV,Btree	No universal optimum or invented observer point.
C09_PIB_SENSITIVITY	PIB curves use accepted same-mode normalized points.	EXISTING_DATA_DERIVED_ANALYSIS	Lane A paper_sens_pib.tsv	BICG,GESUMMV,Btree	No area/PPA optimum claim.
C10_PHYSICAL_16P5_BOUNDARY	BICG/GESUMMV 16.5-KiB physical cases are nonnumeric boundaries; Btree 16.5-KiB remains numeric.	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/fast64_6_expected_deadlocks.tsv; Lane A paper_sens_physical.tsv	physical 16.5 KiB	Never plot BICG/GESUMMV boundary as numeric performance.
