path	sha256	bytes	kind
E_BUILD_PROVENANCE.tsv	19ce81ebb1265a7bbdead351cf9d771935ca98606644e595411409481eae63e8	1015	tsv
E_CLAIM_AUDIT.tsv	efa0b033da5761399dcb811a4c4f8b3f1322737d06785a29df505c3bcd3783a0	1738	tsv
E_CLAIM_EVIDENCE_REGISTER.tsv	692435b84e55363df6552510d346b80250d00685e2ea76cc80211b66a09f3f0c	6136	tsv
E_COVERAGE_AND_IDENTITY.tsv	27a3d09b57767105177cc0ba2569b257c194461c2294e1430c658a6bbd966b56	2666	tsv
E_COVERAGE_SENSITIVITY_AUDIT.tsv	f1701275adee604a72d4f303c67b617cc3e5b8d4c3eab0a82ef9de18314519fa	3233	tsv
E_EXECUTION_INVENTORY.tsv	e36942f78180a149fb56bce57ff01e5b9cc396cd7dcba2c390a0626e7cd535c1	624	tsv
E_INPUT_MANIFEST.tsv	2a6f2ba6ce8a1f2c3634b3fa643ac62e5b56125af480ed1104ffd22bfacf2472	17247	tsv
E_INTERPRETATION_RECONCILIATION.tsv	498673ba60e5ac159679c969af030b089f13e3a1f5c830dd81ebd7f70db6e8c1	908	tsv
E_MACHINE_FIGURE_CHECKS.tsv	48831bfbe67eda757f6584a7acad0e7350d82c5428c8f0a2d4de9f6430efa43a	1111	tsv
E_METRIC_DICTIONARY.tsv	23bac8a8c96a64abc6caab139cc39e4297cb75cff92540caab820905ea81fb40	1147	tsv
E_VALIDATION_REPORT.md	22d9a364847994a90a1c4611977003f1660733a593a00219e93a4eebacc98ab3	3564	md
E_VISUAL_QA.md	79d023f33ea5fad8476142056834b426c14fff043253f764a049c28a4dd0d00f	2080	md
FIGURE_INDEX.md	2e60c69e935ace3b23b570e18f8a7d69679df7e64e92aeeca604b9e376e1bbb0	3618	md
FIGURE_INDEX.tsv	623d239488cd0c3660d7d0832962bde32ddac75142e6fd213149603609a2fa81	4011	tsv
LANE_E_ACCEPTANCE_CHECKLIST.tsv	aa90e0b5d73ea6e5ded3b0d8ff73ae8bfb66ee777da6abafed6447b2d78b1d3e	1475	tsv
LANE_E_FINAL.md	56779677fa8fc0395636587cceeec0ddfb202df9f7d831693aa758b5078ea952	753	md
LIMITATIONS_AND_OPEN_QUESTIONS.md	24eab6662705b876d2c5144e988b08ebffe4ecd499e373676bfe64dabae25f45	519	md
PAPER_RESULTS_ANALYSIS.md	34fceafa04e620118f3da15b9178f10a74f9107a412b4889376c0e81b1aef347	1692	md
REPRODUCE.md	bec83d59d56146098e204bc6d7a92b22dfa127834390e4f5f37e3f095ca413b3	934	md
WORKLOAD_EXPLANATIONS.tsv	21e65a8a45fb0d2e5d7b24120d1fa6c8e41cedfe39a4c0fc1d711c8022887e2c	25973	tsv
figures/F01.pdf	c5db28ed60638790de95aa357d8c8d69f02febea92998803acbec9439b860451	23960	pdf
figures/F01.png	d5517a38f608e1f22a10cf127362a8eef2aab473d874de90c8e9dd943d68891d	24213	png
figures/F01.svg	5f694216d76d784bc24268c9bba1b21ec3b7768ee1f1c1cf6c8c49d252fee1fd	7164	svg
figures/F02.pdf	54f1ab287c67b3025aeeb4307a963f2e5bc2bd7bcb4fe489ed37ed899dda52e8	50020	pdf
figures/F02.png	a03724ae13febc2c40eb9a84f1ea910dc9de550ebebbe5d209cf0a1afd5dc72f	58047	png
figures/F02.svg	a65650996ab314b32d5e79cab4ef6d561413bdd0183f47548f7a4fed4e7c1ea5	19742	svg
figures/F03.pdf	37471ecd8c4758e3bcf20dc42849712d155ee96681413b0d541ddac3715e5ecb	27008	pdf
figures/F03.png	dbaaab0789e0c79d74c0703deecea7659856eabd92550fcdffa8e3e862a8836b	23058	png
figures/F03.svg	b9fc06bbb58a592fb4830a7e93bf77debdcecc2e1b9a93214c0792b54107bb81	6147	svg
figures/F04.pdf	dc49ac76b2a7bdd4bb8c9eea00aac3cf0b873de4c004b09511a6de374f30ef92	21176	pdf
figures/F04.png	a5d5e705255a9d039b96d3895a212362a6159af521bbf7dffdef3aae406e4c19	26640	png
figures/F04.svg	861c8e30bbfaf6927133fb645d28a253db311bdbfc7e9fa3a0b105b232364aeb	5478	svg
figures/F05.pdf	5a3b6e4e33c7cc9ba630cb8581cee033b6258eb8d9b297045e2e426120b97b52	24011	pdf
figures/F05.png	a59bbe4095b12c2ad0b641e9c964d629b3d10cffa8a41992ef354f78bbe0da4f	30393	png
figures/F05.svg	bba741372740d05f6b3ad2ef2a735e06ba64d202ecadc2a92cef00e984eb01a7	6357	svg
figures/F06.pdf	9bae17e98aa583c24c5fe108218026e0bcfe748d13eafe8592e4586fcba90fc0	18988	pdf
figures/F06.png	b4e8f8c74609509b8416577c691cf4553e4020be74d65a043d9f392ac98725cc	24338	png
figures/F06.svg	fb2352dc33c0f3fa36f7542e77c717a98ba06fb6c3ca6d35370e1c655763aecf	6547	svg
figures/F07.pdf	24499d1f068246c32652c3335471cda78fe901dab7899ad36f859afd946a389d	50652	pdf
figures/F07.png	fc7802989d7511d1fda0313e4ccf2ad230ca453fd198f0c5a6e5ee76e04acbc7	63325	png
figures/F07.svg	1a54969964ce5145ecac325c495f1830be7977e026c07e13f3af5ae4bff9800d	32964	svg
figures/F08.pdf	48dbd900006c47a2fcc2ae2fd0dc686aa146ad008772ebd9f8f7f969841a552d	21305	pdf
figures/F08.png	df75bc6f0c9b450cbe51fca702f0d80213195c4289a24d39d295933b75e41495	23532	png
figures/F08.svg	fd43526ab5bdc143f891d8c2245dfdeda0206070021177b44e862dd5f89f2d93	6080	svg
figures/F09.pdf	43981da00e24c00ee932bce5e26a810392c161a55be115a74dbd17d90af54d8d	131535	pdf
figures/F09.png	7086e4fb0d54067cc27b2906455bfecc0b4dbb3cc0d0ea263a1ecf1997a37d8f	147015	png
figures/F09.svg	e9488d0d0994526599f18165d829539d47dfdbb6475adf74b3fe368ceb8f4f8e	27824	svg
