workload	physical_pool_kib	modeled_value	accepted_fast64_commit	accepted_stage6_cells_path	accepted_stage6_cells_sha256	accepted_evidence_path	accepted_evidence_sha256	accepted_config_path	accepted_config_sha256	cycles	instructions	cycles_per_instruction	io_lower_created	lower_requests_per_million_instructions	io_pending_hits	pending_hits_per_lower_request	io_tag_evictions	tag_evictions_per_lower_request	io_duplicate_after_eviction	duplicate_share_of_lower	duplicate_share_of_lower_percent	duplicate_escape_fraction	duplicate_per_tag_eviction	duplicates_per_million_instructions	l2_misses	l2_misses_per_lower_request	l2_reservation_fails	l2_reservation_fails_per_lower_request	global_reads	global_writes	normalization_note	evidence_class
BICG	24	192_lines_24576B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	42351523	145666048	0.290743956	17647559	121150.805162230	175106	0.009922392	17643463	0.999767900	124920	0.007078599	0.707859937	0.416363915	0.007080243	857.578012963	25216512	1.428895180	142805469	8.092080553	17647559	4195328	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
BICG	32	256_lines_32768B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	16ae4fd97fa3a69a9a20b42f4ee2e9ea6d5cfd86e0c573d64ea41d352df67e6b	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	45668204	145666048	0.313513029	17751919	121867.238410971	89181	0.005023739	17747823	0.999769264	353658	0.019922241	1.992224052	0.798615298	0.019926838	2427.868435066	28612316	1.611787210	206408631	11.627398198	17751919	4195328	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
BICG	40	320_lines_40960B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v5/fast64_sens_v7_bicg_physical40_io.json	5246c8c61e5322d19695ab8907d3dfd3149062dd7feb607be7b304f71e35d460	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	61017789	145666048	0.418888202	17823522	122358.794274421	18563	0.001041489	17819426	0.999770191	388275	0.021784415	2.178441500	0.954372502	0.021789422	2665.514753308	38387456	2.153752552	345988456	19.411901643	17823522	4195328	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
BICG	48	384_lines_49152B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	31a98cd4b5d1eee4e07a9a6f9e0e525e7b9d31e92065e5b900a7e3987c46b300	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_IO.config	d70a7b0b9601058091b95e18cc8dcfdd0a8895f9438c87ed63f8e0f642396ec0	77916699	145666048	0.534899519	17822880	122354.386933048	19130	0.001073339	17818784	0.999770183	356819	0.020020277	2.002027731	0.949115439	0.020024879	2449.568756063	50293868	2.821870988	512793007	28.771613061	17822880	4195328	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
Btree	16.5	132_lines_16896B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_io.json	84f5d918cb3efbc6159765910b4f4b21c57d288ad895b6e5499b1c31999ed9c7	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_IO.config	475b8eab9b555c06ca3adeb2b011079eee01de0bf7b8bcca36e7c3adce7d9a77	548243	444467849	0.001233482	507647	1142.145604327	453958	0.894239501	499455	0.983862802	1	0.000001970	0.000196987	0.000002203	0.000002002	0.002249882	291527	0.574271098	452	0.000890382	507647	110000	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
Btree	24	192_lines_24576B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	5d3e8594eaf22c65350ffb77958b5bc54cdaae86a9bd95e65b6e2893d0c09960	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	244231	444467849	0.000549491	507779	1142.442588688	735684	1.448827147	499587	0.983866997	8	0.000015755	0.001575489	0.000010874	0.000016013	0.017999052	291650	0.574364044	5159	0.010159932	507779	110000	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
Btree	32	256_lines_32768B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	4e64f82feae9772bded0d2cf9b8bae97becac91e319a7415d872af6e1948b341	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	244231	444467849	0.000549491	507779	1142.442588688	735684	1.448827147	499587	0.983866997	8	0.000015755	0.001575489	0.000010874	0.000016013	0.017999052	291650	0.574364044	5159	0.010159932	507779	110000	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
Btree	40	320_lines_40960B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_io.json	b4f5a2acddd59bc59a517243bf8bb2909674aac6f2fc961c1b254bb0829a70db	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	244231	444467849	0.000549491	507779	1142.442588688	735684	1.448827147	499587	0.983866997	8	0.000015755	0.001575489	0.000010874	0.000016013	0.017999052	291650	0.574364044	5159	0.010159932	507779	110000	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
Btree	48	384_lines_49152B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_io.json	7c5540a2cfba57113658fa8f80ce81c10de494deee8d3973fc44699250a164c6	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_IO.config	d70a7b0b9601058091b95e18cc8dcfdd0a8895f9438c87ed63f8e0f642396ec0	244231	444467849	0.000549491	507779	1142.442588688	735684	1.448827147	499587	0.983866997	8	0.000015755	0.001575489	0.000010874	0.000016013	0.017999052	291650	0.574364044	5159	0.010159932	507779	110000	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
GESUMMV	24	192_lines_24576B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_io.json	85fc1495391e48230389327de9f2de5b567c7139924d5a865f2aae1110ef82b1	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	78710188	190918656	0.412270805	34220565	179241.598055247	394938	0.011540955	34218517	0.999940153	148747	0.004346714	0.434671374	0.273590406	0.004346974	779.111916648	50745264	1.482887965	127391360	3.722655076	34220565	4194816	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
GESUMMV	32	256_lines_32768B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v8/fast64_sens_v11_gesummv_physical32_io.json	a03c73437f1370974d300aa3f88735900d945af3780be6476570c5b4a2f0249d	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	105662735	190918656	0.553443740	34295146	179632.240863879	337660	0.009845708	34293098	0.999940283	361446	0.010539276	1.053927573	0.517011726	0.010539905	1893.193717014	66476680	1.938369937	299974086	8.746837993	34295146	4194816	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
GESUMMV	40	320_lines_40960B	18a68dcccd795f1b6cda75504e9450d00c9cee02	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v10/fast64_sens_v13_gesummv_physical40_io.json	2c3833e8e5a9c03150d295b5ccb60250e4d6e906d019bdb234ca035b7f5302ac	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	109360156	190918656	0.572810213	34496765	180688.287476736	140618	0.004076266	34494717	0.999940632	580580	0.016829984	1.682998391	0.805021645	0.016830983	3040.980971498	72824748	2.111060211	358065313	10.379678007	34496765	4194816	All event rates use per-lower-request or per-million-instruction exposure; cycles_per_instruction is a time/exposure ratio.	EXISTING_DATA_DERIVED_ANALYSIS
