target	function_family	shape	field	status	evidence_note
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	semantic_function_shape	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	native_timing	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	kernel_census	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	compute_tensor_util	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	occupancy_warp	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	l2_traffic	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	dram_traffic	ACCEPTED_REUSE	existing evidence only; no inferred zero
Q05_PREFILL_ATTN_FLASH	flash_fwd_kernel	16,1,14/128,1,1	interpretable_stall	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	semantic_function_shape	ACCEPTED_REUSE	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	native_timing	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	kernel_census	ACCEPTED_REUSE	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	compute_tensor_util	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	occupancy_warp	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	l2_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	dram_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
PREFILL_GEMM_PRIMARY_OCC0	cutlass::Kernel2	128,3,1/256,1,1	interpretable_stall	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	semantic_function_shape	ACCEPTED_REUSE	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	native_timing	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	kernel_census	ACCEPTED_REUSE	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	compute_tensor_util	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	occupancy_warp	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	l2_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	dram_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_GEMV_PRIMARY_STEP4	internal::gemvx	1216,1,1/16,4,1	interpretable_stall	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	semantic_function_shape	ACCEPTED_REUSE	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	native_timing	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	kernel_census	ACCEPTED_REUSE	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	compute_tensor_util	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	occupancy_warp	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	l2_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	dram_traffic	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
DECODE_FLASH_PRIMARY_1_STEP4	flash_fwd_splitkv	1,9,14/128,1,1	interpretable_stall	MISSING_NEEDS_RUN	existing evidence only; no inferred zero
