evidence_label	applies_to	metric_id	requiredness	source_or_realization_rule	missing_encoding	interpretation_guard
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	gpu_tot_sim_cycle	REQUIRED	simulator terminal scalar	NOT_AVAILABLE	never rank arms by hit/miss alone
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	gpu_tot_ipc	REQUIRED	simulator terminal scalar	NOT_AVAILABLE	report with cycles
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_translation_lookup_requests	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	control semantics must explain zero/nonzero
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_l1_tlb_hits;vm_l1_tlb_misses	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	no standalone success criterion
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_l2_tlb_hits;vm_l2_tlb_misses	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	no standalone success criterion
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_translation_mshr_allocations;vm_translation_mshr_merges;vm_translation_mshr_full_events	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	compare pressure with cycles/IPC
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_translation_pwq_occupancy;vm_translation_pwq_full_events;vm_translation_requester_l2_queue_cycles_total	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	queue pressure is not inferred from misses
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_translation_walk_starts;vm_translation_walk_completions;vm_translation_walkers_active	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	record starts and completions separately
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_pwc_mode;vm_pwc_entries_configured;vm_pwc_accesses;vm_pwc_hits;vm_pwc_misses	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	verify finite/ideal realization
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_pte_requests;vm_pte_responses;vm_pte_l2_only_responses;vm_pte_dram_responses	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	do not collapse response path types
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_pte_memory_wait_cycles_total;vm_pte_memory_wait_cycles_max	REQUIRED	translation telemetry level 3	NOT_AVAILABLE	report with cycle outcome
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	vm_object_WEIGHT_*;vm_object_KV_CACHE_*;vm_object_UNKNOWN_*;vm_object_attribution_conservation_pass	REQUIRED	object telemetry level 3	NOT_AVAILABLE	UNKNOWN stays distinct; conservation must pass
SPECULATIVE_DIAGNOSTIC	E01-E06_all_arms	realized_vm_mode;realized_page_size;realized_pwc_mode;realized_pwc_entries	REQUIRED	static composed config plus terminal telemetry	NOT_AVAILABLE	INVALID_CONFIG on guard failure
SPECULATIVE_DIAGNOSTIC	E07-E08	max_rss_kb;MemAvailable_before_after;swapin_out_delta;iowait_pct;partial_sha256	REQUIRED	time-v and host snapshots	NOT_AVAILABLE	no fan-out follows an unsafe calibration
SPECULATIVE_DIAGNOSTIC	E09-E10	selected_kernel_ids;signature_features;map_version;boundary_policy;Weight_KV_UNKNOWN_mass	REQUIRED	selector manifest and mining output	NOT_AVAILABLE	metadata signature is not traffic equivalence
SPECULATIVE_DIAGNOSTIC	E09-E10	sectors;lines;64KB_pages;2MB_pages;stride;reuse_distance_or_approximation;conservation	REQUIRED	streaming miner output	NOT_AVAILABLE	partial static result is not full ROI
