evidence_label	input_role	revision_or_sha	path_or_identity	access_method	scope_limit
SPECULATIVE_DIAGNOSTIC	B9_authoritative_head	7ae5f3b68a10c73a76a0a00d574cf2c518516787	hrl/vm-spec-farm-v0	local_fast_forward	B9 docs and pack only
SPECULATIVE_DIAGNOSTIC	B8_frozen_head	3c5700cba44739a9abb2470c863d1942c20e1079	hrl/vm-spec-farm-v0	committed_local_read	B8 minimum set
SPECULATIVE_DIAGNOSTIC	A_checkpoint	73d25ebbdd96833ee1ddb8ea42b9017cefbceb75	hrl/vm-llm-m4b-c3-progress-review-20260907	git_show_committed_object_only	external supporting evidence only
SPECULATIVE_DIAGNOSTIC	B_simulator	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	gpu-simulator/bin/release/accel-sim.out	static_sha256	no execution
SPECULATIVE_DIAGNOSTIC	B_runtime	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	gpgpu-sim local libcudart	static_sha256	no rebuild
SPECULATIVE_DIAGNOSTIC	decode_trace_list	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	semantic-rebuilt/decode1/compute-only-kernelslist.g	static_hash_and_metadata_only	no trace-content scan
SPECULATIVE_DIAGNOSTIC	prefill_trace_list	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	semantic-rebuilt/prefill/compute-only-kernelslist.g	static_hash_and_metadata_only	no trace-content scan
SPECULATIVE_DIAGNOSTIC	base_config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c	SM86_RTX3070/gpgpusim.config	static_sha256	frozen source config
SPECULATIVE_DIAGNOSTIC	trace_config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b	SM86_RTX3070/trace.config	static_sha256	frozen source config
SPECULATIVE_DIAGNOSTIC	generic_profile	13e3952bda1b9390419388ce81b296785bc0b1200e3755922eb6ff0b2ac52caa	M4C_GENERIC_M3_LLM_BASELINE.config	static_sha256	frozen source config
SPECULATIVE_DIAGNOSTIC	disabled_profile	77574cac02f0ad478ad0910de72839309a6efb70f62006aab794cc94613d456f	M4C_CONTROL_VM_DISABLED.config	static_sha256	frozen source config
SPECULATIVE_DIAGNOSTIC	ideal_profile	c7f9f6582a40719a21d7969fc039405ce49961134b0ffc1ffa03b02afa7ec2e1	M4C_CONTROL_VM_IDEAL_IDENTITY.config	static_sha256	frozen source config
SPECULATIVE_DIAGNOSTIC	decode_object_map	b1dd8745d5a9fd418d03c4bab82627d820c161b6f990f913e6f90583e72e3340	M4C_DECODE1_OBJECT_MAP.tsv	static_sha256	Weight/KV/UNKNOWN boundary policy frozen
SPECULATIVE_DIAGNOSTIC	prefill_object_map	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85	M4C_PREFILL_OBJECT_MAP.tsv	static_sha256	Weight/KV/UNKNOWN boundary policy frozen
SPECULATIVE_DIAGNOSTIC	pwc32_overlay	6b19fc34e21b72c824c41f301d85c43513cc70dd487263e084f2378949e5fd15	b2-pwc-finite32.config	static_sha256	E01 delta
SPECULATIVE_DIAGNOSTIC	pwc512_overlay	ce01898a28cf8ba4a3362693b697561c1a346fb0e6b0f62c75c3700396ba62eb	b2-pwc-finite512.config	static_sha256	E02 delta
SPECULATIVE_DIAGNOSTIC	pwcideal_overlay	93d3729bfb0750bf24cfe8d7689a48c5645ca565b503348fabe2206c39ffef8a	b2-pwc-ideal.config	static_sha256	E03 delta
SPECULATIVE_DIAGNOSTIC	page2mb_overlay	247924c894fc42a166c3613b9f73bc54b604c9fbd8643e0f052f110eb1a1e566	b2-page-2mb-diagnostic.config	static_sha256	E04 delta
