workload	dimension	point	mode	modeled_value	config_path	config_sha256	cycles	instructions	lower_cap_full_events	origin	evidence_path	evidence_sha256	status
BICG	logical	16	IO	16384	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_16/FAST64_SENS_LOGICAL_16KB_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	93942704	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_io_core95_a1_v1.json	4c0deedd8ffe00908e064c31d7f46689e9851f228f7313f7cb65a6dba32080b4	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	logical	16	OO	16384	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_16/FAST64_SENS_LOGICAL_16KB_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	47231655	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_oo_core95_a1_v1.json	9e4028f6e11ac04f45ec1a77dc3ebda056312b31265f7723bc4b6de8001dbcd5	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	logical	32	IO	32768	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_IO.config	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	93942704	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_io_core95_a1_v1.json	30acd6c51336599619b8237ddb098a10919a667d290b1ee60867fdd538f58f35	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	logical	32	OO	32768	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_OO.config	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	47182217	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_oo_core95_a1_v1.json	25fb3d9d23dbdfb70678b1681fc0b2db8fe61253ff4b00799a6c8368331777aa	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	logical	64	IO	65536	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	93697186	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_io_core95_a1_v1.json	3ad89985dd43b2e79b4cf3e54d88d1363bb24900cebdde955487c2b87331e5ad	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	logical	64	OO	65536	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	42468441	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_oo_core95_a1_v1.json	00fbeabef21d6b23822654789fff469ef9f5986dfbea9cf9ad2479a9671cd219	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	24	IO	192_lines_24576B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	42351523	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	24	OO	192_lines_24576B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	37846112	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	81dca2ba916aa5c8eac4a64b5f4cd2aa6619970be84568a5417809e6e770c92b	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	32	IO	256_lines_32768B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_IO.config	65f477f59f24dddfbd06848196425228e1c4493b1e65ed7e7239fd938a951a06	45668204	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	16ae4fd97fa3a69a9a20b42f4ee2e9ea6d5cfd86e0c573d64ea41d352df67e6b	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	32	OO	256_lines_32768B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_32/FAST64_SENS_PHYSICAL_32KB_OO.config	d60177739b631e83dc6a6008425f47db53c49b1c409a54f1bedb261c837c4146	42895109	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	280eaa1ada1e0fa57c77071ae2fbc89ce5915444b0e46a760c2578e8d156804d	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	40	IO	320_lines_40960B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	61017789	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v5/fast64_sens_v7_bicg_physical40_io.json	5246c8c61e5322d19695ab8907d3dfd3149062dd7feb607be7b304f71e35d460	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	40	OO	320_lines_40960B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_OO.config	6b1cf347db1186badbd3765f378ab588a0489e05b2a5c374d3059cd31e1c7109	42680059	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v6/fast64_sens_v8_bicg_physical40_oo.json	dfa442b36219ffcc0e7c601dd13503ad98e00d0cc48670161abbd046da07738e	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	48	IO	384_lines_49152B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_IO.config	d70a7b0b9601058091b95e18cc8dcfdd0a8895f9438c87ed63f8e0f642396ec0	77916699	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	31a98cd4b5d1eee4e07a9a6f9e0e525e7b9d31e92065e5b900a7e3987c46b300	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	physical	48	OO	384_lines_49152B	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_OO.config	361c9c98a1e5ef710c623f5229b3e94214270f64c1d39ba7af20937a603216fe	47093407	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	f3e4f6b9fe6550a090d8504afb41c095fc955aa8dd3514a44c5b8f9d3aa10f02	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	128	IO	128_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_128/FAST64_SENS_PIB_128ENTRIES_IO.config	b9af4ed0b9668712c65e629c460cc256249a6fe8c9e12914ae51f5b9e6ed39a2	93942704	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib128_bicg_io_core95_a1_v1.json	ca7c9256f883505d11cfc51cf8b10cd46151ad4c74fb2ef7b820fc8d75fea53b	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	128	OO	128_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_128/FAST64_SENS_PIB_128ENTRIES_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	47231655	145666048	0	EXACT_FAST64_4_PRIMARY_REUSE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	6d6c2414f4518901fcbca953bf81d27565f25acacbc8f4c4d124dfebecb67a99	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	192	IO	192_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_192/FAST64_SENS_PIB_192ENTRIES_IO.config	1c9041e7e8ddf3142ff8ae89157e82a343d3773cbf6858842da049f98af2ac4d	93942704	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_bicg_io_core95_a1_v1.json	132b3bc3263884888df2fff8aed687cad5c3848e8b8b0803982dd63a93229564	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	192	OO	192_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_192/FAST64_SENS_PIB_192ENTRIES_OO.config	2c0a75f320c25960442644e70d2dc259b9db76a3673655dadb7273cc15644592	47231655	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_bicg_oo_core95_a1_v1.json	9342c6ce493b7a2f53d7b26684087aa8f080b04c8c74f7ef682a9b4d4f4ae339	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	256	IO	256_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_256/FAST64_SENS_PIB_256ENTRIES_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	93942704	145666048	0	EXACT_FAST64_4_PRIMARY_REUSE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	9cb2a934364fc1658d5806a6aea2e871c7faca31c175544994ca1614f2369c06	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	pib	256	OO	256_entries	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_256/FAST64_SENS_PIB_256ENTRIES_OO.config	269010e11e53b4bc7bb2e09fdda7f7542f5a8b88267955f192e4d58be76bf89a	47231655	145666048	0	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib256_bicg_oo_core95_a1_v1.json	39687fb35e043fdb4aeabd2c026468cb6f8eaaa10099c1fd0043a0d86b321aae	CANDIDATE_PENDING_STAGE6_HANDOFF
