label	address_dec	address_hex	access_type	is_write	interval_match	target	target_class	expected
L0_up_qweight	139265623347488	0x7ea94e025120	0	0	1	1	1	1
L14_up_qweight	139264415236384	0x7ea906000120	0	0	1	1	15	1
L27_up_qweight	139259449332864	0x7ea7de025480	0	0	1	1	28	1
L0_gate_qweight	139265690304512	0x7ea952000000	0	0	0	0	0	0
L0_down_qweight	139265757413376	0x7ea956000000	0	0	0	0	0	0
L0_up_qzeros	139266934453248	0x7ea99c283400	0	0	0	0	0	0
L0_up_scales	139265657143296	0x7ea950060000	0	0	0	0	0	0
self_attn	139261554596864	0x7ea85b7e1c00	0	0	0	0	0	0
PTE_on_target_address	139265623347488	0x7ea94e025120	11	0	1	0	1	0
write_on_target_address	139265623347488	0x7ea94e025120	4	1	1	0	1	0
writeback_on_target_address	139265623347488	0x7ea94e025120	7	1	1	0	1	0
instruction_on_target_address	139265623347488	0x7ea94e025120	8	0	1	0	1	0
