ORACLE_ELASTIC_QWEIGHT_RESIDENCY_V1	1	MODELED_L2_GET_ADDR
0x7ea746000000	0x7ea748060000	model.layers.9.mlp.up_proj.qweight	10
0x7ea752000000	0x7ea754060000	model.layers.8.mlp.up_proj.qweight	9
0x7ea75e000000	0x7ea760060000	model.layers.7.mlp.up_proj.qweight	8
0x7ea76a000000	0x7ea76c060000	model.layers.6.mlp.up_proj.qweight	7
0x7ea776000000	0x7ea778060000	model.layers.5.mlp.up_proj.qweight	6
0x7ea782000000	0x7ea784060000	model.layers.4.mlp.up_proj.qweight	5
0x7ea78e000000	0x7ea790060000	model.layers.3.mlp.up_proj.qweight	4
0x7ea79a000000	0x7ea79c060000	model.layers.23.mlp.up_proj.qweight	24
0x7ea7a6000000	0x7ea7a8060000	model.layers.22.mlp.up_proj.qweight	23
0x7ea7b2000000	0x7ea7b4060000	model.layers.21.mlp.up_proj.qweight	22
0x7ea7de000000	0x7ea7e0060000	model.layers.27.mlp.up_proj.qweight	28
0x7ea7ea000000	0x7ea7ec060000	model.layers.26.mlp.up_proj.qweight	27
0x7ea858000000	0x7ea85a060000	model.layers.25.mlp.up_proj.qweight	26
0x7ea864000000	0x7ea866060000	model.layers.24.mlp.up_proj.qweight	25
0x7ea8b2000000	0x7ea8b4060000	model.layers.20.mlp.up_proj.qweight	21
0x7ea8be000000	0x7ea8c0060000	model.layers.2.mlp.up_proj.qweight	3
0x7ea8ca000000	0x7ea8cc060000	model.layers.19.mlp.up_proj.qweight	20
0x7ea8d6000000	0x7ea8d8060000	model.layers.18.mlp.up_proj.qweight	19
0x7ea8e2000000	0x7ea8e4060000	model.layers.17.mlp.up_proj.qweight	18
0x7ea8ee000000	0x7ea8f0060000	model.layers.16.mlp.up_proj.qweight	17
0x7ea8fa000000	0x7ea8fc060000	model.layers.15.mlp.up_proj.qweight	16
0x7ea906000000	0x7ea908060000	model.layers.14.mlp.up_proj.qweight	15
0x7ea912000000	0x7ea914060000	model.layers.13.mlp.up_proj.qweight	14
0x7ea91e000000	0x7ea920060000	model.layers.12.mlp.up_proj.qweight	13
0x7ea92a000000	0x7ea92c060000	model.layers.11.mlp.up_proj.qweight	12
0x7ea936000000	0x7ea938060000	model.layers.10.mlp.up_proj.qweight	11
0x7ea942000000	0x7ea944060000	model.layers.1.mlp.up_proj.qweight	2
0x7ea94e000000	0x7ea950060000	model.layers.0.mlp.up_proj.qweight	1
