stage	request_uid	address_dec	address_hex	access_type	is_write	eligibility	interval_match	target	target_class
TRACE_PARSED_LANE	0	0	0x0	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	4	0x4	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	8	0x8	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	12	0xc	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	20	0x14	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	24	0x18	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	28	0x1c	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	0	0x0	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	4	0x4	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	8	0x8	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	12	0xc	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	20	0x14	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	24	0x18	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	28	0x1c	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	0	0x0	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	4	0x4	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	8	0x8	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	12	0xc	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	20	0x14	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	24	0x18	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	28	0x1c	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	0	0x0	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	4	0x4	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	8	0x8	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	12	0xc	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	20	0x14	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	24	0x18	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	28	0x1c	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	16	0x10	-1	0	-1	0	0	0
TRACE_PARSED_LANE	0	139259449332864	0x7ea7de025480	-1	0	-1	1	1	28
INSTRUCTION_OPERAND	0	139259449332864	0x7ea7de025480	-1	0	-1	1	1	28
MEM_ACCESS_CREATED	295702	139259449332864	0x7ea7de025480	0	0	1	1	1	28
MEM_FETCH_CONSTRUCT	295318	139259449332864	0x7ea7de025480	0	0	1	1	1	28
MEM_FETCH_CONSTRUCT	295351	139259449332864	0x7ea7de025480	0	0	1	1	1	28
MEM_ACCESS_CREATED	396145	139259449332864	0x7ea7de025480	0	0	1	1	1	28
MEM_FETCH_CONSTRUCT	642283	139259449332864	0x7ea7de025480	0	0	1	1	1	28
MEM_FETCH_CONSTRUCT	642360	139259449332864	0x7ea7de025480	0	0	1	1	1	28
L2_ENTRY	295351	139259449332864	0x7ea7de025480	0	0	1	1	1	28
ORACLE_LOOKUP	295351	139259449332864	0x7ea7de025480	0	0	1	1	1	28
ADDRESS_INTEGRATION_CANARY_ONLY_COMPLETE	1
