evidence_class	frozen_fast64_framework_sha	workload	dimension	physical_point_kib	mode	modeled_pool	row_disposition	compact_evidence_path	compact_evidence_sha256	raw_metric	raw_value	normalization	denominator	normalized_value	unit	formula	provenance
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	cycles	42351523	per_1m_instructions	145666048	290743.955653963	cycles per 1M instructions	cycles / instruction * 1e6	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_created	17647559	per_1m_instructions	145666048	121150.805162230	lower_requests_created events per 1M instructions	lower_requests_created / instructions * 1e6	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_created	17647559	per_simulated_cycle	42351523	0.416692429	lower_requests_created events per simulated cycle	lower_requests_created / cycles	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_created	17647559	per_sm_cycle	2710497472	0.006510819	lower_requests_created events per SM-cycle	lower_requests_created / (64 * cycles)	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_issued	17647559	per_1m_instructions	145666048	121150.805162230	lower_requests_issued events per 1M instructions	lower_requests_issued / instructions * 1e6	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_issued	17647559	per_simulated_cycle	42351523	0.416692429	lower_requests_issued events per simulated cycle	lower_requests_issued / cycles	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_issued	17647559	per_sm_cycle	2710497472	0.006510819	lower_requests_issued events per SM-cycle	lower_requests_issued / (64 * cycles)	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_requests_issued	17647559	per_1m_lower_requests	17647559	1000000.000000000	lower_requests_issued events per 1M lower requests	lower_requests_issued / lower_requests_created * 1e6	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_responses	17647559	per_1m_instructions	145666048	121150.805162230	lower_responses events per 1M instructions	lower_responses / instructions * 1e6	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	BICG	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	9dc2604002b10fbe12d443bf62a37eb0be4cf72a87b7624f6301dc3e9b25e2ed	lower_responses	17647559	per_simulated_cycle	42351523	0.416692429	lower_responses events per simulated cycle	lower_responses / cycles	EXISTING_DATA_DERIVED_ANALYSIS; raw_metric from compact_evidence_path/SHA in this row; SM_COUNT=64 from FAST64_PLATFORM_CONTRACT.md
