field	effective_value	evidence
vm_mode	2	effective.config:218
page_size	65536	effective.config:219
l1_tlb	32 entries, 32 assoc, 1 port, latency 10	effective.config:220-223
l2_tlb	768 entries, 16 assoc, 1 port, latency 80	effective.config:224-227
weight_segmentation_enable	1	effective.config:251 (last effective setting)
weight_segment_entries	8	effective.config:252
weight_segment_lookup_latency	5	effective.config:253
object_map	/root/share/mnt164/huangrulin/awma_q05_contextual_warm_prefix_replay_v1/runtime_assets/object-map.tsv; sha256=689af1cfe35897fb17e741cd9699a20dafaf3e529d7d7603447d6381066bfc99	effective.config:258
weight_segment_map	/root/share/mnt164/huangrulin/awma_q05_contextual_warm_prefix_replay_v1/runtime_assets/segment-map.tsv; sha256=765d9793d0922e12f6c02d4a042c14eca3b35197ed48f246af3fb2187e66047c	effective.config:259
fair_arm	1	effective.config:255
