row	gpu_sim_cycle	gpu_sim_insn	gpu_tot_issued_cta	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_l1_tlb_lookup_launches	vm_l1_tlb_lookup_completions	vm_l1_tlb_lookup_service_cycles	vm_l2_tlb_lookup_launches	vm_l2_tlb_lookup_completions	vm_l2_tlb_lookup_service_cycles	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_walk_starts	vm_translation_walk_completions	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pte_requests	vm_pte_responses	vm_pte_l2_only_responses	vm_pte_dram_responses	vm_translation_requester_latency_cycles_total	vm_translation_requester_l1_service_cycles_total	vm_translation_requester_l2_service_cycles_total	vm_translation_requester_mshr_wait_cycles_total	L2_total_cache_accesses	L2_total_cache_misses
P34_R0_CONTROL	871835	368696302	224	776915	773501	3414	3414	3165	249	776915	776915	7769150	3414	3414	273120	15	234	15	15	45	42	3	18	18	8	10	8477382	7769150	273120	434431	2463206	1190722
P34_L1_5_L2_80	778598	368696302	224	779016	775646	3370	3370	3064	306	779016	779016	3895080	3370	3370	269600	15	291	15	15	45	42	3	18	18	8	10	4578103	3895080	269600	412677	2463482	1190806
P34_L1_2_L2_80	771796	368696302	224	786997	783622	3375	3375	3068	307	786997	786997	1573994	3375	3375	270000	15	292	15	15	45	42	3	18	18	9	9	2369104	1573994	270000	524314	2462314	1173773
P34_L1_0_L2_80	748102	368696302	224	865036	861620	3416	3416	3108	308	865036	865036	0	3416	3416	273280	15	293	15	15	45	42	3	18	18	8	10	727527	0	273280	452749	2463330	1189770
P34_L1_10_L2_40	904750	368696302	224	777404	774017	3387	3387	3110	277	777404	777404	7774040	3387	3387	135480	15	262	15	15	45	42	3	18	18	8	10	8285294	7774040	135480	375004	2462146	1180470
P34_L1_10_L2_0	878836	368696302	224	777784	774363	3421	3421	3117	304	777784	777784	7777840	3421	3421	0	15	289	15	15	45	42	3	18	18	8	10	8196720	7777840	0	418097	2463182	1181110
P34_L1_0_L2_0	657110	368696302	224	872241	868830	3411	3411	3072	339	872241	872241	0	3411	3411	0	15	324	15	15	45	42	3	18	18	8	10	513426	0	0	510725	2464050	1171790
P34_Q05_I0_CONTROL	674121	368696302	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2462224	1151268
P8_R0_CONTROL	835145	368696302	224	777656	774272	3384	3384	3092	292	777656	777656	7776560	3384	3384	270720	16	276	16	16	48	45	3	19	19	9	10	8466455	7776560	270720	418370	2463303	1183770
P8_L1_5_L2_80	737845	368696302	224	779016	775641	3375	3375	3061	314	779016	779016	3895080	3375	3375	270000	16	298	16	16	48	45	3	19	19	9	10	4706890	3895080	270000	540988	2462275	1176158
P8_L1_0_L2_80	672014	368696302	224	857914	854543	3371	3371	3045	326	857914	857914	0	3371	3371	269680	16	310	16	16	48	45	3	19	19	9	10	862635	0	269680	591473	2463095	1193642
P8_L1_10_L2_0	846508	368696302	224	777327	773944	3383	3383	3095	288	777327	777327	7773270	3383	3383	0	16	272	16	16	48	45	3	19	19	9	10	8215873	7773270	0	441688	2461775	1190326
P8_L1_0_L2_0	661123	368696302	224	879441	876059	3382	3382	3081	301	879441	879441	0	3382	3382	0	16	285	16	16	48	45	3	19	19	9	10	505978	0	0	503274	2463771	1175362
