stage_id	execution_status	validation_status	test_receipt	note
C15-0.1	COMPLETE	PASS	T00,T01,T23,T24	prepare only; candidate raw arms deliberately unopened
C15-0.4	COMPLETE	PASS	T00,T16,T17	prepare only; candidate raw arms deliberately unopened
C15-3.1	COMPLETE	PASS	T01,T12,T14	prepare only; candidate raw arms deliberately unopened
C15-3.2	COMPLETE	INCONCLUSIVE	T14,T15,T21	prepare only; candidate raw arms deliberately unopened
C15-3.3	COMPLETE	PASS	T14,T18	prepare only; candidate raw arms deliberately unopened
C15-3.7	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-3.8	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.1	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.2	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.3	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.4	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.5	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.6	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-4.7	NOT_STARTED	NOT_EXECUTED	NA	not reached
C15-5.3	NOT_STARTED	NOT_EXECUTED	NA	not reached
